Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,REAL_EXEMPTIONS,TOTAL_NET_REAL,TOTAL_GROSS_MOTOR,MOTOR_EXEMPTIONS,TOTAL_NET_MOTOR,TOTAL_PERS_PROP,PERS_PROP_EXEMPTIONS,TOTAL_NET_PERS_PROP,TOTAL_GROSS_GL,TOTAL_NET_GL,OTHER
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,6.3649250000000000e+08,6.4374670000000000e+07,1.5043730000000000e+07,3.5766000000000000e+05,2.3247700000000000e+06,7.4824996000000000e+08,2.3223400000000000e+06,7.4592762000000000e+08,6.5501230000000000e+07,1.3357800000000000e+06,6.4165450000000000e+07,2.8346680000000000e+07,3.0430700000000000e+06,2.5303610000000000e+07,8.4209787000000000e+08,8.3539668000000000e+08,2.9656630000000000e+07
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,3.4500198000000000e+08,1.6861900000000000e+07,2.5313000000000000e+06,6.5750000000000000e+05,6.1990000000000000e+05,3.9135138000000000e+08,9.0667400000000000e+05,3.9044470600000000e+08,3.6301480000000000e+07,4.0395000000000000e+05,3.5897530000000000e+07,1.5896802000000000e+07,1.1942000000000000e+06,1.4702602000000000e+07,4.4354966200000000e+08,4.4104483800000000e+08,2.5678800000000000e+07
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,6.5339156500000000e+08,3.7564570000000000e+07,1.2045402000000000e+07,0.0000000000000000e+00,8.9340000000000000e+05,7.1111945700000000e+08,4.5677800000000000e+06,7.0655167700000000e+08,7.0247633000000000e+07,6.9857000000000000e+05,6.9549063000000000e+07,2.3091824000000000e+07,3.0373240000000000e+06,2.0054500000000000e+07,8.0445891400000000e+08,7.9615524000000000e+08,7.2245200000000000e+06
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,2.9152330000000000e+08,7.7943600000000000e+07,3.7467400000000000e+07,1.3840000000000000e+05,9.3934000000000000e+06,4.2942820000000000e+08,5.0781600000000000e+06,4.2435004000000000e+08,5.1547070000000000e+07,7.9497000000000000e+05,5.0752100000000000e+07,5.8362660000000000e+07,1.1772320000000000e+07,4.6590340000000000e+07,5.3933793000000000e+08,5.2169248000000000e+08,1.2962100000000000e+07
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.6271694000000000e+09,1.3111320000000000e+08,4.3753300000000000e+06,3.9217100000000000e+06,0.0000000000000000e+00,1.8300182300000000e+09,6.1850600000000000e+05,1.8293997240000000e+09,9.0640495000000000e+07,2.2668000000000000e+05,9.0413815000000000e+07,8.8668413000000000e+07,1.0091300000000000e+05,8.8567500000000000e+07,2.0093271380000000e+09,2.0083810390000000e+09,6.3438590000000000e+07
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.6408869550000000e+09,3.5502951100000000e+08,1.7817770000000000e+07,0.0000000000000000e+00,1.1425740000000000e+07,5.0982958160000000e+09,6.3162960000000000e+06,5.0919795200000000e+09,2.2938948600000000e+08,8.3210000000000000e+04,2.2930627600000000e+08,1.4431341800000000e+08,2.6858572000000000e+07,1.1745484600000000e+08,5.4719987200000000e+09,5.4387406420000000e+09,7.3135840000000000e+07
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,9.7694065500000000e+08,2.6611207300000000e+08,7.7807510000000000e+07,1.6736500000000000e+06,8.1196933000000000e+07,1.4183932710000000e+09,3.7303000000000000e+06,1.4146629710000000e+09,1.4658866700000000e+08,4.9171390000000000e+06,1.4167152800000000e+08,1.0694022200000000e+08,6.4783340000000000e+06,1.0046188800000000e+08,1.6719221600000000e+09,1.6567963870000000e+09,1.4662450000000000e+07
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,6.3764981000000000e+08,2.9408000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0520134000000000e+08,4.3500000000000000e+05,7.0476634000000000e+08,2.6474040000000000e+07,1.5087000000000000e+05,2.6323170000000000e+07,5.7837620000000000e+06,3.1432000000000000e+05,5.4694420000000000e+06,7.3745914200000000e+08,7.3655895200000000e+08,6.4610730000000000e+07
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,3.5136559500000000e+08,1.8068760000000000e+07,1.3247300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.8684587500000000e+08,1.7320000000000000e+06,3.8511387500000000e+08,3.0473089000000000e+07,2.1796000000000000e+05,3.0255129000000000e+07,1.3076624000000000e+07,4.0103600000000000e+05,1.2675588000000000e+07,4.3039558800000000e+08,4.2804459200000000e+08,1.6086790000000000e+07
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,8.3343165000000000e+08,5.2232240000000000e+07,1.3026700000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.1286667800000000e+09,1.2920000000000000e+06,1.1273747800000000e+09,3.2885890000000000e+07,1.1085000000000000e+05,3.2775040000000000e+07,2.0015110000000000e+07,1.3399320000000000e+06,1.8675178000000000e+07,1.1815677800000000e+09,1.1788249980000000e+09,2.4170022000000000e+08
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,8.0218640000000000e+07,1.1539200000000000e+06,0.0000000000000000e+00,2.7000000000000000e+04,0.0000000000000000e+00,8.4354950000000000e+07,4.7200000000000000e+05,8.3882950000000000e+07,1.2008680000000000e+07,6.0409000000000000e+05,1.1404590000000000e+07,3.4580830000000000e+06,4.4348000000000000e+05,3.0146030000000000e+06,9.9821713000000000e+07,9.8302143000000000e+07,2.9553900000000000e+06
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1.0459566600000000e+09,7.6196520000000000e+07,4.0090190000000000e+07,1.9751200000000000e+06,1.6500190000000000e+07,1.2184961600000000e+09,7.3658850000000000e+06,1.2111302750000000e+09,1.1246751000000000e+08,1.2012700000000000e+06,1.1126624000000000e+08,6.1395892000000000e+07,9.5297020000000000e+06,5.1866190000000000e+07,1.3923595620000000e+09,1.3742627050000000e+09,3.7777480000000000e+07
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,4.5179720000000000e+08,2.9591800000000000e+07,0.0000000000000000e+00,1.1000000000000000e+03,0.0000000000000000e+00,5.1617683200000000e+08,1.1245000000000000e+06,5.1505233200000000e+08,2.5719155000000000e+07,4.2560000000000000e+04,2.5676595000000000e+07,1.7773155000000000e+07,5.5664000000000000e+05,1.7216515000000000e+07,5.5966914200000000e+08,5.5794544200000000e+08,3.4786732000000000e+07
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,3.6244961500000000e+09,6.2617478000000000e+08,1.7514786000000000e+08,2.7512780000000000e+07,4.4843060000000000e+07,4.5174195200000000e+09,9.2745100000000000e+06,4.5081450100000000e+09,2.9009127000000000e+08,1.8274600000000000e+06,2.8826381000000000e+08,2.8508272000000000e+08,4.4489750000000000e+07,2.4059297000000000e+08,5.0925935100000000e+09,5.0370017900000000e+09,1.9244890000000000e+07
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,5.5597514200000000e+08,5.3716700000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3380119200000000e+08,2.7396960000000000e+06,6.3106149600000000e+08,3.4247265000000000e+07,1.6297000000000000e+05,3.4084295000000000e+07,8.8682470000000000e+06,1.3502100000000000e+05,8.7332260000000000e+06,6.7691670400000000e+08,6.7387901700000000e+08,7.2454380000000000e+07
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,1.9710552100000000e+09,2.8516679000000000e+08,1.0607010000000000e+07,0.0000000000000000e+00,2.4351870000000000e+07,2.3080985500000000e+09,4.3376870000000000e+06,2.3037608630000000e+09,1.7719213300000000e+08,9.7010800000000000e+05,1.7622202500000000e+08,1.2030681700000000e+08,2.7200200000000000e+06,1.1758679700000000e+08,2.6055975000000000e+09,2.5975696850000000e+09,1.6917670000000000e+07
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,6.3881313300000000e+08,2.1712570000000000e+07,5.8579800000000000e+06,0.0000000000000000e+00,2.3722400000000000e+06,6.7965907300000000e+08,4.3496700000000000e+06,6.7530940300000000e+08,6.8215654000000000e+07,7.8075100000000000e+05,6.7434903000000000e+07,1.6481890000000000e+07,2.7304320000000000e+06,1.3751458000000000e+07,7.6435661700000000e+08,7.5649576400000000e+08,1.0903150000000000e+07
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,1.8473305400000000e+09,2.6485670000000000e+08,2.2713342000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,2.3771413800000000e+09,1.5455720000000000e+07,2.3616856600000000e+09,1.9522238700000000e+08,3.2457350000000000e+06,1.9197665200000000e+08,1.7673717500000000e+08,5.0031860000000000e+07,1.2670531500000000e+08,2.7491009420000000e+09,2.6803676270000000e+09,3.7820720000000000e+07
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,1.9650623310000000e+09,3.1643336000000000e+08,1.2929420000000000e+07,0.0000000000000000e+00,2.9099030000000000e+07,2.3445128810000000e+09,6.4459000000000000e+06,2.3380669810000000e+09,1.5065266000000000e+08,2.0780000000000000e+06,1.4857466000000000e+08,1.1715818200000000e+08,1.0385250000000000e+06,1.1611965700000000e+08,2.6123237230000000e+09,2.6027612980000000e+09,2.0988740000000000e+07
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,2.8576100310000000e+09,4.0963365800000000e+08,1.0409828500000000e+08,0.0000000000000000e+00,2.7015100000000000e+07,3.4940351130000000e+09,3.7125090000000000e+07,3.4569100230000000e+09,3.1948822500000000e+08,1.5392103000000000e+07,3.0409612200000000e+08,1.8631782700000000e+08,3.3416744000000000e+07,1.5290108300000000e+08,3.9998411650000000e+09,3.9139072280000000e+09,9.5678039000000000e+07
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.2130762000000000e+08,1.9963850000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.3826000000000000e+06,1.5591797000000000e+08,1.0600000000000000e+06,1.5485797000000000e+08,1.7463550000000000e+07,1.8228000000000000e+05,1.7281270000000000e+07,2.3678420000000000e+07,1.3284346000000000e+07,1.0394074000000000e+07,1.9705994000000000e+08,1.8253331400000000e+08,1.3263900000000000e+07
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,5.6924726000000000e+08,3.9919450000000000e+07,1.7590250000000000e+07,7.0690000000000000e+05,4.0208000000000000e+06,6.8057985000000000e+08,7.3451600000000000e+06,6.7323469000000000e+08,7.7441684000000000e+07,2.6064140000000000e+06,7.4835270000000000e+07,6.0912150000000000e+07,2.8952930000000000e+07,3.1959220000000000e+07,8.1893368400000000e+08,7.8002918000000000e+08,4.9095190000000000e+07
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.4117940820000000e+10,6.0273828200000000e+09,9.3973591000000000e+08,6.6650920000000000e+07,1.2077143100000000e+09,2.2360094590000000e+10,1.5765323400000000e+08,2.2202441356000000e+10,8.2341696600000000e+08,3.4285500000000000e+06,8.1998841600000000e+08,9.6504806400000000e+08,5.8742752000000000e+07,9.0630531200000000e+08,2.4148559620000000e+10,2.3928735084000000e+10,6.6981000000000000e+05
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,2.1965058000000000e+08,1.4825220000000000e+07,1.8954200000000000e+06,0.0000000000000000e+00,1.6594900000000000e+06,2.7447062000000000e+08,9.2619000000000000e+05,2.7354443000000000e+08,2.0913110000000000e+07,4.4090000000000000e+04,2.0869020000000000e+07,2.5203270000000000e+07,2.1515660000000000e+06,2.3051704000000000e+07,3.2058700000000000e+08,3.1746515400000000e+08,3.6439910000000000e+07
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2.3287991000000000e+09,4.0161642000000000e+08,3.3226300000000000e+07,5.8421000000000000e+06,2.2548750000000000e+07,2.8996295900000000e+09,1.0265160000000000e+07,2.8893644300000000e+09,1.2886755500000000e+08,1.5511930000000000e+06,1.2731636200000000e+08,8.0684558000000000e+07,8.5408470000000000e+06,7.2143711000000000e+07,3.1091817030000000e+09,3.0888245030000000e+09,1.0759692000000000e+08
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,3.3457407020000000e+09,3.7586923000000000e+08,2.7217841000000000e+08,1.4701400000000000e+06,2.0158670000000000e+07,4.0722200720000000e+09,2.1031380000000000e+07,4.0511886920000000e+09,3.0430434400000000e+08,3.2344490000000000e+06,3.0106989500000000e+08,3.2467787400000000e+08,1.0788606000000000e+08,2.1679181400000000e+08,4.7012022900000000e+09,4.5690504010000000e+09,5.6802920000000000e+07
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,8.9066082000000000e+08,4.2430979000000000e+07,3.6166540000000000e+07,8.1669000000000000e+05,4.4490600000000000e+06,9.8365939900000000e+08,2.8385000000000000e+06,9.8082089900000000e+08,1.0206694700000000e+08,1.0620650000000000e+06,1.0100488200000000e+08,5.4635561000000000e+07,1.0963550000000000e+07,4.3672011000000000e+07,1.1403619070000000e+09,1.1254977920000000e+09,9.1353100000000000e+06
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,4.4558500900000000e+08,3.5013650000000000e+07,3.5953920000000000e+07,0.0000000000000000e+00,5.9386800000000000e+06,5.3356233900000000e+08,3.0699000000000000e+06,5.3049243900000000e+08,5.2693599000000000e+07,7.2295900000000000e+05,5.1970640000000000e+07,4.6307505000000000e+07,1.5960469000000000e+07,3.0347036000000000e+07,6.3256344300000000e+08,6.1281011500000000e+08,1.1071080000000000e+07
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,4.8128569000000000e+08,1.4474800000000000e+07,7.3703000000000000e+06,1.4700000000000000e+05,2.6203000000000000e+06,5.8876709000000000e+08,7.1809000000000000e+06,5.8158619000000000e+08,6.1918832000000000e+07,8.2578000000000000e+05,6.1093052000000000e+07,1.9129087000000000e+07,2.5568760000000000e+06,1.6572211000000000e+07,6.6981500900000000e+08,6.5925145300000000e+08,8.2869000000000000e+07
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1.0010277000000000e+09,5.7469800000000000e+07,2.1010500000000000e+07,5.7136000000000000e+05,2.4945000000000000e+06,1.0863287700000000e+09,8.1019500000000000e+06,1.0782268200000000e+09,1.1332221800000000e+08,2.2487300000000000e+06,1.1107348800000000e+08,3.7184790000000000e+07,4.8209640000000000e+06,3.2363826000000000e+07,1.2368357780000000e+09,1.2216641340000000e+09,3.7549100000000000e+06
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.2869015800000000e+09,2.2604547000000000e+08,7.3294390000000000e+07,4.2355000000000000e+06,2.1029100000000000e+07,1.6361635700000000e+09,3.5759400000000000e+07,1.6004041700000000e+09,2.0412857900000000e+08,4.7476800000000000e+06,1.9938089900000000e+08,1.5446737500000000e+08,2.6211810000000000e+07,1.2825556500000000e+08,1.9947595240000000e+09,1.9280406340000000e+09,2.4657530000000000e+07
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,3.8904416000000000e+09,4.7489170000000000e+08,1.4802780000000000e+08,5.1306000000000000e+06,2.0216900000000000e+07,4.5861634000000000e+09,1.3796289000000000e+07,4.5723671110000000e+09,2.6512386800000000e+08,4.9328580000000000e+06,2.6019101000000000e+08,2.3550126300000000e+08,1.9169552000000000e+07,2.1633171100000000e+08,5.0867885310000000e+09,5.0488898320000000e+09,4.7454800000000000e+07
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,5.4735550000000000e+07,2.2206400000000000e+06,2.2441000000000000e+05,2.7966700000000000e+06,0.0000000000000000e+00,6.4151310000000000e+07,3.3750000000000000e+05,6.3813810000000000e+07,6.9147800000000000e+06,9.5050000000000000e+04,6.8197300000000000e+06,2.8950530000000000e+06,1.3881000000000000e+05,2.7562430000000000e+06,7.3961143000000000e+07,7.3389783000000000e+07,4.1740400000000000e+06
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.2446397800000000e+09,3.7941257000000000e+08,2.2663820000000000e+07,1.6194100000000000e+06,0.0000000000000000e+00,1.6619257300000000e+09,7.7471300000000000e+06,1.6541786000000000e+09,1.6288840000000000e+08,3.3906400000000000e+06,1.5949776000000000e+08,7.4658099000000000e+07,3.3859230000000000e+06,7.1272176000000000e+07,1.8994722290000000e+09,1.8849485360000000e+09,1.3590150000000000e+07
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,1.7193239000000000e+08,4.5702200000000000e+06,4.7180000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,2.0007116000000000e+08,1.1890500000000000e+06,1.9888211000000000e+08,1.8159343000000000e+07,1.6119300000000000e+05,1.7998150000000000e+07,3.1291370000000000e+06,2.8849000000000000e+05,2.8406470000000000e+06,2.2135964000000000e+08,2.1972090700000000e+08,2.3521370000000000e+07
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,2.7751917230000000e+09,5.6204282000000000e+08,2.4731878000000000e+08,9.6408100000000000e+06,2.1762830000000000e+07,3.6577762330000000e+09,2.1522910000000000e+07,3.6362533230000000e+09,3.1010299300000000e+08,4.6799230000000000e+06,3.0542307000000000e+08,4.0743632300000000e+08,8.7177116000000000e+07,3.2025920700000000e+08,4.3753155490000000e+09,4.2619356000000000e+09,4.1819270000000000e+07
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,2.8838968000000000e+08,4.0343100000000000e+06,0.0000000000000000e+00,8.4000000000000000e+02,0.0000000000000000e+00,3.2845274000000000e+08,5.7700000000000000e+05,3.2787574000000000e+08,1.2988090000000000e+07,9.1250000000000000e+04,1.2896840000000000e+07,4.0167100000000000e+06,3.8864000000000000e+05,3.6280700000000000e+06,3.4545754000000000e+08,3.4440065000000000e+08,3.6027910000000000e+07
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,7.4769794000000000e+08,3.0671040000000000e+07,4.5063000000000000e+05,3.5924000000000000e+05,1.9422000000000000e+06,9.2663653000000000e+08,1.0555300000000000e+06,9.2558100000000000e+08,3.8428290000000000e+07,1.9014000000000000e+05,3.8238150000000000e+07,1.7639620000000000e+07,5.5156000000000000e+05,1.7088060000000000e+07,9.8270444000000000e+08,9.8090721000000000e+08,1.4551548000000000e+08
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,3.0549284580000000e+09,1.0497761540000000e+09,1.3587718000000000e+08,9.2017320000000000e+07,2.9191554000000000e+08,4.6968209420000000e+09,8.1779820000000000e+07,4.6150411220000000e+09,3.6984145200000000e+08,4.7808890000000000e+06,3.6506056300000000e+08,3.5678710400000000e+08,8.3284510000000000e+07,2.7350259400000000e+08,5.4234494980000000e+09,5.2536042790000000e+09,7.2306290000000000e+07
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,1.8317735100000000e+09,4.0750540000000000e+08,3.9432330000000000e+07,4.5501590000000000e+08,1.1339250000000000e+07,2.7887758100000000e+09,3.7989450000000000e+07,2.7507863600000000e+09,1.4547215000000000e+08,1.3979700000000000e+06,1.4407418000000000e+08,7.7074831000000000e+08,4.1210736000000000e+07,7.2953757400000000e+08,3.7049962700000000e+09,3.6243981140000000e+09,4.3709420000000000e+07
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.2307881000000000e+09,8.4050097000000000e+07,1.0458330000000000e+08,2.3787000000000000e+06,9.4880000000000000e+06,1.4318569970000000e+09,8.2134820000000000e+06,1.4236435150000000e+09,1.6072339300000000e+08,2.6516480000000000e+06,1.5807174500000000e+08,1.3174678500000000e+08,3.0514533000000000e+07,1.0123225200000000e+08,1.7243271750000000e+09,1.6829475120000000e+09,5.6880000000000000e+05
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,4.6097911200000000e+09,6.7627497000000000e+08,6.8201500000000000e+07,5.8071000000000000e+06,1.2570120000000000e+08,5.5275489900000000e+09,1.1720354270000000e+09,4.3555135630000000e+09,3.7706201000000000e+08,5.6136700000000000e+06,3.7144834000000000e+08,1.8017936000000000e+08,1.7710950000000000e+07,1.6246841000000000e+08,6.0847903600000000e+09,4.8894303130000000e+09,4.1773100000000000e+07
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,2.2207552710000000e+09,2.4585743400000000e+08,8.8670610000000000e+07,2.2551200000000000e+06,1.4814506800000000e+08,2.7257126230000000e+09,3.0458361000000000e+07,2.6952542620000000e+09,2.3444900400000000e+08,6.5169800000000000e+06,2.2793202400000000e+08,1.0332725900000000e+08,1.0444713000000000e+07,9.2882546000000000e+07,3.0634888860000000e+09,3.0160688320000000e+09,2.0029120000000000e+07
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1.0263077030000000e+09,1.2338114000000000e+08,3.2528040000000000e+07,0.0000000000000000e+00,4.2881900000000000e+06,1.2394111010000000e+09,3.3713300000000000e+06,1.2360397710000000e+09,5.0565000000000000e+07,9.1760000000000000e+05,4.9647400000000000e+07,5.2431737000000000e+07,2.0371548000000000e+07,3.2060189000000000e+07,1.3424078380000000e+09,1.3177473600000000e+09,5.2906028000000000e+07
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3315608360000000e+09,1.7647430000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4220248100000000e+09,1.4422500000000000e+06,2.4205825600000000e+09,1.1604550000000000e+08,1.3700000000000000e+03,1.1604413000000000e+08,1.7491208000000000e+07,5.4010000000000000e+04,1.7437198000000000e+07,2.5555615180000000e+09,2.5540638880000000e+09,7.2816544000000000e+07
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,8.6108609820000000e+09,1.3508916600000000e+09,1.1316600000000000e+07,3.1242000000000000e+06,6.6315000000000000e+06,1.0139659900000000e+10,1.2893000000000000e+07,1.0126766900000000e+10,3.0585336500000000e+08,7.1736000000000000e+05,3.0513600500000000e+08,1.8046182300000000e+08,8.5300000000000000e+04,1.8037652300000000e+08,1.0625975088000000e+10,1.0612279428000000e+10,1.5683495800000000e+08
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,1.5382328100000000e+09,1.8236605000000000e+08,1.6319190000000000e+07,3.3692000000000000e+06,5.0989900000000000e+07,1.7921608500000000e+09,1.1127900000000000e+07,1.7810329500000000e+09,1.6359623000000000e+08,2.0854500000000000e+06,1.6151078000000000e+08,6.2424353000000000e+07,1.9356100000000000e+06,6.0488743000000000e+07,2.0181814330000000e+09,2.0030324730000000e+09,8.8370000000000000e+05
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,2.3234519000000000e+08,5.0289490000000000e+07,3.6907800000000000e+06,6.2410000000000000e+04,1.8617100000000000e+07,3.4723976000000000e+08,5.0450000000000000e+05,3.4673526000000000e+08,3.9213770000000000e+07,1.3018000000000000e+05,3.9083590000000000e+07,1.2963337000000000e+07,7.6547400000000000e+05,1.2197863000000000e+07,3.9941686700000000e+08,3.9801671300000000e+08,4.2234790000000000e+07
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,3.8936515800000000e+09,6.0861461000000000e+08,0.0000000000000000e+00,2.4534370000000000e+07,2.0863640000000000e+07,4.6096243400000000e+09,1.6915500000000000e+06,4.6079327900000000e+09,1.9098898000000000e+08,2.6590000000000000e+05,1.9072308000000000e+08,1.8841953000000000e+08,1.5981595000000000e+07,1.7243793500000000e+08,4.9890328500000000e+09,4.9710938050000000e+09,6.1960140000000000e+07
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,5.8364375200000000e+08,5.9475898000000000e+07,1.6764020000000000e+07,4.7740000000000000e+04,1.5835680000000000e+07,7.2582581000000000e+08,1.6032500000000000e+06,7.2422256000000000e+08,6.4218102000000000e+07,1.6383400000000000e+06,6.2579762000000000e+07,4.2565132000000000e+07,1.2477250000000000e+07,3.0087882000000000e+07,8.3260904400000000e+08,8.1689020400000000e+08,5.0058720000000000e+07
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,5.2722933500000000e+08,1.2660882500000000e+08,3.6556530000000000e+07,1.5396500000000000e+06,0.0000000000000000e+00,7.8791437000000000e+08,6.4318050000000000e+06,7.8148256500000000e+08,9.3454550000000000e+07,4.0648900000000000e+06,8.9389660000000000e+07,6.9813640000000000e+07,1.5167408000000000e+07,5.4646232000000000e+07,9.5118256000000000e+08,9.2551845700000000e+08,9.5980030000000000e+07
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,1.3325165000000000e+09,4.0049878000000000e+08,3.0869510000000000e+08,3.5550200000000000e+06,1.0504480000000000e+07,2.0777187300000000e+09,4.2442820000000000e+07,2.0352759100000000e+09,1.9025767100000000e+08,2.7044810000000000e+06,1.8755319000000000e+08,4.2497611000000000e+08,5.7067579000000000e+07,3.6790853100000000e+08,2.6929525110000000e+09,2.5907376310000000e+09,2.1948850000000000e+07
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,5.3004834000000000e+08,1.3559060000000000e+08,1.4753680000000000e+08,4.7890000000000000e+05,1.1505400000000000e+07,8.2524318000000000e+08,3.6290000000000000e+06,8.2161418000000000e+08,1.7444180100000000e+08,8.6436410000000000e+06,1.6579816000000000e+08,2.6560273000000000e+08,9.9785530000000000e+07,1.6581720000000000e+08,1.2652877110000000e+09,1.1532295400000000e+09,8.3140000000000000e+04
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1.1171829900000000e+09,4.6762990000000000e+07,3.0361680000000000e+07,3.4935800000000000e+06,4.6834200000000000e+06,1.2147162400000000e+09,6.8632300000000000e+06,1.2078530100000000e+09,1.1592739000000000e+08,2.4630800000000000e+06,1.1346431000000000e+08,4.5985005000000000e+07,1.0095560000000000e+07,3.5889445000000000e+07,1.3766286350000000e+09,1.3572067650000000e+09,1.2231580000000000e+07
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1.0192641900000000e+09,5.8231320000000000e+07,1.1730560000000000e+07,4.9867000000000000e+05,8.5317000000000000e+05,1.1101467300000000e+09,2.5945000000000000e+06,1.1075522300000000e+09,8.1800570000000000e+07,6.0450000000000000e+05,8.1196070000000000e+07,3.2513120000000000e+07,1.1501100000000000e+06,3.1363010000000000e+07,1.2244604200000000e+09,1.2201113100000000e+09,1.9568820000000000e+07
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,8.6183552000000000e+08,5.3109810000000000e+07,1.0494460000000000e+07,0.0000000000000000e+00,1.4657810000000000e+07,9.4954749000000000e+08,1.8106000000000000e+06,9.4773689000000000e+08,8.4916149000000000e+07,6.3184000000000000e+05,8.4284309000000000e+07,2.2244499000000000e+07,3.2417580000000000e+06,1.9002741000000000e+07,1.0567081380000000e+09,1.0510239400000000e+09,9.4498900000000000e+06
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,6.4429228000000000e+08,2.6842980000000000e+07,8.5211000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.1366472000000000e+08,5.1680350000000000e+06,7.0849668500000000e+08,5.9067815000000000e+07,4.8352000000000000e+05,5.8584295000000000e+07,2.1414540000000000e+07,5.1504790000000000e+06,1.6264061000000000e+07,7.9414707500000000e+08,7.8334504100000000e+08,3.4008360000000000e+07
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.2815945000000000e+08,5.0960000000000000e+06,9.0260000000000000e+05,4.1500000000000000e+05,1.6131000000000000e+06,2.4383603000000000e+08,7.7650000000000000e+05,2.4305953000000000e+08,2.4274810000000000e+07,7.4330000000000000e+04,2.4200480000000000e+07,5.8647940000000000e+06,1.5832000000000000e+05,5.7064740000000000e+06,2.7397563400000000e+08,2.7296648400000000e+08,7.6498800000000000e+06
