Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2005 Population,Moody's_Bond_Ratings_July_2005,area lmt,ACGLFY05,EGL,TANF05 Recipients,empl,ACMR,enrollmt,RPA Identifier
"BLOOMFIELD","JG",2.0050000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",35194098.0000,-1914338.0000,33279760.0000,2567392.0000,7438761.0000,48237060.0000,58490930.0000,32419132.0000,1129071.0000,56551482.0000,43876.0000,43876.0000,2161061.0000,2161061.0000,-177737.0000,-2732323.0000,-177737.0000,0.0000,,20248864.0000,20248864.0000,0.0000,0.0000,3404600.0000,3404600.0000,10984464.0000,2305463.0000,48139008.0000,46812523.0000,9.7244469599373551e-01,50378008.0000,47516433.0000,9.4319793271699037e-01,2.0581000000000000e+04,"Aa2",2.6010000000000002e+01,1140876711.0000,2536505710.8363,2.2500000000000000e+02,5.8606557377049180e-02,4.2329999999999998e+01,2.7673800000000001e+03,"Capital Region COG"
"BOLTON","JG",2.0050000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",7147120.0000,817446.0000,10236622.0000,-53109.0000,3582620.0000,10575288.0000,14580832.0000,10403638.0000,958364.0000,14517506.0000,0.0000,300000.0000,287400.0000,287400.0000,-224074.0000,-31465.0000,75926.0000,0.0000,,4175000.0000,4175000.0000,130168.0000,287074.0000,631154.0000,500986.0000,23259.0000,,10447224.0000,10306196.0000,9.8650091162973053e-01,10693361.0000,10423518.0000,9.7476537077538106e-01,5.1700000000000000e+03,"A2",1.4410000000000000e+01,374542085.0000,536578192.8571,1.2000000000000000e+01,3.6687983843823629e-02,2.7910000000000000e+01,9.4167000000000007e+02,"Capital Region COG"
"BOZRAH","BP",2.0050000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",2832547.0000,1912230.0000,4954777.0000,557938.0000,1913348.0000,3822758.0000,5946217.0000,3863990.0000,545605.0000,5758313.0000,0.0000,0.0000,20000.0000,20000.0000,167904.0000,-153981.0000,167904.0000,0.0000,,2635455.0000,2635455.0000,15479.0000,0.0000,46528.0000,31049.0000,,,3781367.0000,3682519.0000,9.7385918901815138e-01,3965827.0000,3738163.0000,9.4259356245242165e-01,2.4450000000000000e+03,"Baa1",1.9960000000000001e+01,172148477.0000,336715991.0000,1.6000000000000000e+01,4.8010973936899862e-02,2.2000000000000000e+01,3.8736000000000001e+02,"Southeastern CT COG"
"BRANFORD","BP",2.0050000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",40402383.0000,25316789.0000,65949474.0000,3265653.0000,5183466.0000,65885351.0000,77022720.0000,39882279.0000,6527284.0000,74789013.0000,7138.0000,7138.0000,1837873.0000,1837873.0000,402972.0000,1303117.0000,402972.0000,0.0000,,52708562.0000,52708562.0000,377980.0000,2145000.0000,14071349.0000,13693369.0000,,-149300.0000,65256463.0000,64251087.0000,9.8459346471168685e-01,68384392.0000,65540957.0000,9.5841982480446708e-01,2.9089000000000000e+04,"Aa3",2.1990000000000002e+01,2722942792.0000,5161084755.6993,1.3000000000000000e+02,4.0386668248131898e-02,2.3940000000000001e+01,3.6614400000000001e+03,"South Central Regional COG"
"BRIDGEPORT","BP",2.0050000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",108362879.0000,-175841584.0000,-64271471.0000,9790174.0000,194766364.0000,203587418.0000,436184616.0000,172602830.0000,67094235.0000,447886784.0000,7214276.0000,72290008.0000,0.0000,64019065.0000,-4487892.0000,-2217834.0000,-3431225.0000,0.0000,,656543199.0000,656543199.0000,2500000.0000,0.0000,32300885.0000,29800885.0000,69150505.0000,,197205819.0000,189036426.0000,9.5857428020417590e-01,245599209.0000,197212326.0000,8.0298436954656482e-01,1.3900800000000000e+05,"Baa1",1.6000000000000000e+01,5166187662.0000,7427595160.0000,4.7870000000000000e+03,7.6748291757936377e-02,3.8990000000000002e+01,2.3571860000000001e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","JG",2.0050000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",2483363.0000,4017802.0000,6949774.0000,151863.0000,178523.0000,5420745.0000,5937388.0000,4140923.0000,57533.0000,5773134.0000,0.0000,0.0000,170386.0000,170386.0000,-6132.0000,276371.0000,-6132.0000,0.0000,821035.9978,29045.0000,850080.9978,0.0000,230000.0000,1253146.0000,1253146.0000,,,5413388.0000,5379281.0000,9.9369950943845153e-01,5514256.0000,5393921.0000,9.7817747308068392e-01,1.8980000000000000e+03,,1.6230000000000000e+01,309939123.0000,442869590.0000,0.0000000000000000e+00,2.9585798816568046e-02,1.7500000000000000e+01,2.6906999999999999e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","JG",2.0050000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",190922000.0000,38523000.0000,229741000.0000,1850000.0000,45621000.0000,97295000.0000,149452000.0000,75860000.0000,6408000.0000,119752000.0000,440000.0000,440000.0000,25677000.0000,25677000.0000,4463000.0000,1337000.0000,4463000.0000,0.0000,,48561000.0000,48561000.0000,753000.0000,7485000.0000,24783000.0000,24030000.0000,23752000.0000,2850000.0000,95382000.0000,93483000.0000,9.8009058312889219e-01,100614000.0000,95765000.0000,9.5180591170214879e-01,6.1353000000000000e+04,"Aa3",2.6510000000000002e+01,2875268310.0000,5389611884.6503,1.0190000000000000e+03,5.4070291378792427e-02,3.2829999999999998e+01,9.0723299999999999e+03,"Central CT RPA"
"BROOKFIELD","JG",2.0050000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",20734582.0000,119860.0000,20854442.0000,-2308611.0000,2805958.0000,39578874.0000,44360274.0000,29852450.0000,3262495.0000,42722371.0000,0.0000,0.0000,1892825.0000,1892825.0000,-254922.0000,-206107.0000,-254922.0000,0.0000,,19370524.0000,19370524.0000,0.0000,660000.0000,4203983.0000,4203983.0000,,-751882.0000,39382670.0000,38900210.0000,9.8774943395153247e-01,39895607.0000,39181993.0000,9.8211296797664971e-01,1.6354000000000000e+04,"Aa2",1.9800000000000001e+01,1747876900.0000,3252510245.0000,1.2000000000000000e+01,3.4592264942724285e-02,2.2620000000000001e+01,3.1126700000000001e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","BP",2.0050000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",10181847.0000,5854651.0000,16036498.0000,-177955.0000,7341875.0000,8864644.0000,17032231.0000,12957850.0000,1507515.0000,17338939.0000,0.0000,27680.0000,358850.0000,358850.0000,-665558.0000,-82857.0000,-637878.0000,0.0000,,8381092.0000,8381092.0000,509180.0000,246990.0000,1139416.0000,630236.0000,,,8890908.0000,8658861.0000,9.7390064096940376e-01,9186251.0000,8827111.0000,9.6090461712835851e-01,7.7110000000000000e+03,"A3",2.8969999999999999e+01,320948716.0000,687706225.0000,2.7000000000000000e+01,4.3809523809523812e-02,2.7340000000000000e+01,1.3626400000000001e+03,"Northeastern CT COG"
"BURLINGTON","BP",2.0050000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",2955586.0000,3474788.0000,6553254.0000,1000013.0000,3605121.0000,18373025.0000,22924979.0000,17144615.0000,481864.0000,22685950.0000,0.0000,0.0000,35056.0000,35056.0000,203973.0000,583367.0000,203973.0000,0.0000,4260198.4333,4801667.0000,9061865.4333,0.0000,616867.0000,3162068.0000,3162068.0000,45256.0000,,18359854.0000,18166904.0000,9.8949065716971385e-01,18674272.0000,18295742.0000,9.7972986577468724e-01,9.0970000000000000e+03,"A2",2.9789999999999999e+01,706861469.0000,1010504631.4286,2.3000000000000000e+01,3.6936762715142138e-02,2.5500000000000000e+01,1.8151300000000001e+03,"Central CT RPA"
"CANAAN","BP",2.0050000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",2438268.0000,957073.0000,4181263.0000,204452.0000,585222.0000,3129304.0000,3901314.0000,2618974.0000,114404.0000,3844072.0000,0.0000,0.0000,48500.0000,48500.0000,8742.0000,-161521.0000,8742.0000,0.0000,571060.4873,1113750.0000,1684810.4873,0.0000,188235.0000,630315.0000,630315.0000,34865.0000,,3129978.0000,3097282.0000,9.8955392018729849e-01,3191378.0000,3126841.0000,9.7977770104324835e-01,1.1010000000000000e+03,,3.2939999999999998e+01,113106760.0000,195774692.4711,4.0000000000000000e+00,4.0336134453781515e-02,2.7500000000000000e+01,1.8525000000000000e+02,"Northwestern CT COG"
"CANTERBURY","BP",2.0050000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",7691207.0000,3737453.0000,11443603.0000,54573.0000,5515253.0000,6786161.0000,12593101.0000,9525276.0000,712804.0000,11979503.0000,0.0000,0.0000,500703.0000,500703.0000,112895.0000,57129.0000,112895.0000,0.0000,,2790000.0000,2790000.0000,0.0000,350789.0000,1880477.0000,1880477.0000,,,6628098.0000,6509900.0000,9.8216713150590107e-01,6951464.0000,6665311.0000,9.5883557765673533e-01,5.0600000000000000e+03,"A3",3.9890000000000001e+01,214080524.0000,473445906.6283,1.8000000000000000e+01,4.8726114649681532e-02,3.0500000000000000e+01,8.2050000000000000e+02,"Northeastern CT COG"
"CANTON","JG",2.0050000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",23352045.0000,9282129.0000,32659274.0000,7552979.0000,3525916.0000,21472063.0000,26879936.0000,17193498.0000,2269157.0000,26176446.0000,16303.0000,16303.0000,400200.0000,400200.0000,319593.0000,242026.0000,319593.0000,0.0000,,22209518.0000,22209518.0000,9882.0000,0.0000,2009223.0000,1999341.0000,,20828.0000,21453783.0000,21175364.0000,9.8702238201999148e-01,22284501.0000,21311244.0000,9.5632583381606795e-01,9.9320000000000000e+03,"A1",2.4560000000000002e+01,759750779.0000,1088101041.4286,1.5000000000000000e+01,3.4689429713040322e-02,2.7660000000000000e+01,1.6690100000000000e+03,"Capital Region COG"
"CHAPLIN","BP",2.0050000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",3318163.0000,1937968.0000,5257056.0000,373673.0000,2423702.0000,3863603.0000,6577524.0000,4558151.0000,409900.0000,6261316.0000,0.0000,0.0000,73500.0000,73500.0000,242708.0000,131033.0000,242708.0000,0.0000,,1842719.0000,1842719.0000,5247.0000,0.0000,678795.0000,673548.0000,,,3713990.0000,3652375.0000,9.8341002533663258e-01,3860800.0000,3777105.0000,9.7832185039370079e-01,2.4720000000000000e+03,,1.9440000000000001e+01,119029912.0000,170256362.8571,1.6000000000000000e+01,4.5258620689655173e-02,3.1000000000000000e+01,3.6672000000000003e+02,"Windham Region COG"
"CHESHIRE","JG",2.0050000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",21935792.0000,14085702.0000,36200114.0000,5053038.0000,14979146.0000,63068610.0000,80913485.0000,51007357.0000,10083835.0000,80361312.0000,1281050.0000,24855652.0000,1047777.0000,24716252.0000,785446.0000,437284.0000,691573.0000,0.0000,,82515060.0000,82515060.0000,1915182.0000,850000.0000,7814530.0000,5899348.0000,,-1171346.0000,62113305.0000,61865281.0000,9.9600691027469879e-01,62588977.0000,62271313.0000,9.9492460149971773e-01,2.9097000000000000e+04,"Aa3",3.2910000000000004e+01,2412018450.0000,3461274785.7143,2.6000000000000000e+01,3.9387155449839097e-02,2.5750000000000000e+01,5.1570200000000004e+03,"COG of Central Naugatuck Valley"
"CHESTER","JG",2.0050000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",4369506.0000,3802466.0000,8171972.0000,193232.0000,1017389.0000,8861907.0000,10389674.0000,7053700.0000,506240.0000,10543296.0000,421274.0000,421274.0000,478345.0000,478345.0000,-210693.0000,-293036.0000,-210693.0000,0.0000,5938113.3598,3045000.0000,8983113.3598,0.0000,276645.0000,1356802.0000,1356802.0000,,,8796758.0000,8728535.0000,9.9224452917768113e-01,8913486.0000,8775967.0000,9.8457180501545638e-01,3.8320000000000000e+03,"A2",1.6030000000000001e+01,398747588.0000,574697440.0000,1.2000000000000000e+01,3.4794396746497966e-02,2.1900000000000002e+01,5.4803999999999996e+02,"CT River Estuary RPA"
"CLINTON","BP",2.0050000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",19748714.0000,4960536.0000,24709250.0000,-127152.0000,7831874.0000,27754515.0000,36837722.0000,24431740.0000,1967972.0000,35670346.0000,0.0000,10725000.0000,2026504.0000,12567407.0000,-859128.0000,-412949.0000,-675031.0000,0.0000,,16544260.0000,16544260.0000,37545.0000,200000.0000,5107540.0000,5069995.0000,,-47896.0000,27431257.0000,27360146.0000,9.9740766527760649e-01,27849066.0000,27546076.0000,9.8912028144857711e-01,1.3612000000000000e+04,"A1",1.6280000000000001e+01,941806242.0000,2112065902.0000,3.9000000000000000e+01,4.1543026706231452e-02,2.8990000000000002e+01,2.1898800000000001e+03,"CT River Estuary RPA"
"COLCHESTER","JG",2.0050000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",42689848.0000,18376493.0000,61066341.0000,2024328.0000,14978666.0000,25570311.0000,42498361.0000,28467400.0000,4822476.0000,41018422.0000,0.0000,0.0000,187788.0000,187788.0000,1292151.0000,421113.0000,1292151.0000,0.0000,,35095000.0000,35095000.0000,322727.0000,1719550.0000,5550072.0000,5227345.0000,3233081.0000,501169.0000,25197928.0000,24709127.0000,9.8060153993614074e-01,26107890.0000,25250345.0000,9.6715379910057842e-01,1.5389000000000000e+04,"A1",4.9060000000000002e+01,800036762.0000,1531606678.9793,5.9000000000000000e+01,4.2285041224970552e-02,3.1020000000000000e+01,3.1634300000000003e+03,"Southeastern CT COG"
"COLEBROOK","BP",2.0050000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",2889622.0000,2257977.0000,5221658.0000,579012.0000,615578.0000,4019605.0000,4752713.0000,3034720.0000,221245.0000,4493287.0000,0.0000,0.0000,253998.0000,253998.0000,5428.0000,416625.0000,5428.0000,0.0000,1049914.2804,1495480.0000,2545394.2804,0.0000,0.0000,1302127.0000,1302127.0000,,,3992965.0000,3902752.0000,9.7740701458690471e-01,4195569.0000,3971516.0000,9.4659770820119993e-01,1.5400000000000000e+03,"A3",3.1490000000000002e+01,106918105.0000,237978490.0441,1.0000000000000000e+00,2.9411764705882353e-02,3.6660000000000004e+01,2.5337000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","BP",2.0050000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",5605065.0000,6045151.0000,11993153.0000,655875.0000,3018696.0000,9847032.0000,13462159.0000,9353308.0000,1138513.0000,12966638.0000,43699.0000,43699.0000,449545.0000,449545.0000,89675.0000,-165281.0000,89675.0000,0.0000,,7490000.0000,7490000.0000,14479.0000,427354.0000,2121680.0000,2107201.0000,,,9805255.0000,9709236.0000,9.9020739389235668e-01,9915802.0000,9779080.0000,9.8621170531642321e-01,5.3360000000000000e+03,"A1",2.1350000000000001e+01,330204840.0000,642917548.0000,1.0000000000000000e+01,3.7538045316198851e-02,2.9199999999999999e+01,9.3884000000000003e+02,"Windham Region COG"
"CORNWALL","BP",2.0050000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",4064929.0000,1971919.0000,6466873.0000,941739.0000,504013.0000,4807817.0000,5502388.0000,3333169.0000,447181.0000,5024292.0000,0.0000,0.0000,304500.0000,304500.0000,173596.0000,-150081.0000,173596.0000,0.0000,600098.2827,3475000.0000,4075098.2827,0.0000,0.0000,986723.0000,986723.0000,,,4788895.0000,4729413.0000,9.8757918058341221e-01,4924154.0000,4781890.0000,9.7110894582094709e-01,1.4890000000000000e+03,"A1",4.6000000000000000e+01,227102440.0000,467607392.3572,3.0000000000000000e+00,3.0788177339901478e-02,2.1000000000000000e+01,2.1959999999999999e+02,"Northwestern CT COG"
"COVENTRY","JG",2.0050000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",25870553.0000,4775316.0000,30647763.0000,1932453.0000,9181306.0000,19642876.0000,29585682.0000,20342370.0000,4906136.0000,29778177.0000,143849.0000,143849.0000,55500.0000,55500.0000,-104146.0000,-126675.0000,-104146.0000,0.0000,,19880176.0000,19880176.0000,155712.0000,0.0000,1417681.0000,1261969.0000,,,19440406.0000,19130046.0000,9.8403531284274615e-01,20009375.0000,19450358.0000,9.7206224582227085e-01,1.2190000000000000e+04,"A2",3.7719999999999999e+01,604040595.0000,1198057066.0000,2.1000000000000000e+01,4.3050249779606233e-02,3.1850000000000001e+01,2.1609099999999999e+03,"Windham Region COG"
"CROMWELL","JG",2.0050000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",25548448.0000,15043750.0000,40600776.0000,9909932.0000,4425655.0000,28732362.0000,34328585.0000,19887275.0000,3271251.0000,33281783.0000,205564.0000,205564.0000,858676.0000,858676.0000,393690.0000,-450082.0000,393690.0000,0.0000,,30860000.0000,30860000.0000,118728.0000,908857.0000,3874970.0000,3756242.0000,,,28261888.0000,28002220.0000,9.9081207879671729e-01,29122532.0000,28457767.0000,9.7717351636870031e-01,1.3594000000000000e+04,"A1",1.2390000000000001e+01,957331860.0000,1583870661.7936,3.3000000000000000e+01,4.1359325605900950e-02,2.9000000000000000e+01,1.9314900000000000e+03,"Midstate RPA"
"DANBURY","JG",2.0050000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",115001687.0000,17675507.0000,134196202.0000,20632492.0000,31266830.0000,128472290.0000,173447957.0000,93430267.0000,9200069.0000,166837706.0000,0.0000,1156397.0000,682468.0000,682468.0000,5927783.0000,49368.0000,7084180.0000,0.0000,,71199640.0000,71199640.0000,1697289.0000,0.0000,19926212.0000,18228923.0000,100293261.0000,,129215735.0000,127300837.0000,9.8518061287195402e-01,133983675.0000,128750646.0000,9.6094278649992249e-01,7.8736000000000000e+04,"Aa2",4.2109999999999999e+01,5200457340.0000,9469435689.3496,4.7100000000000000e+02,3.9251557325799505e-02,2.4859999999999999e+01,9.7728199999999997e+03,"Housatonic Council of Elected Ofcls"
