Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
1931,"BRISTOL",0,"City of Bristol Firefighter's Benefit Fund",0,0,0,0,0,1,0,,0,186,0,0,0,0,,,,"07/01/08 00:00:00",61374000,155198000,,0,-1888000,
1932,"BRISTOL",0,"City of Bristol Police Benefit Fund",0,0,0,0,1,0,0,,0,222,0,0,0,0,,,,"07/01/08 00:00:00",77990000,170638000,,0,-3163000,
1933,"ORANGE",0,"Retirement Plan For Police Officers of Town of Orange",0,1,0,0,1,0,0,,0,50,0,304721,304721,0,,,,"01/01/09 00:00:00",17755708,14736959,,0,0,
1934,"ORANGE",0,"Town of Orange Employee Pension And Retirement Income Plan",0,1,1,0,0,0,0,,0,95,0,143523,143523,0,,,,"01/01/09 00:00:00",9682220,9486077,,0,0,
1935,"NEW HAVEN",0,"City Employees' Retirement Fund of New Haven",0,0,0,1,0,0,0,"WPCA employees & City officers",1,2257,0,10938000,10938000,0,,,,"06/30/08 00:00:00",344861529,208351823,,0,1633314,
1936,"NEW HAVEN",0,"Pension Fund For New Haven Policemen And Firemen",0,0,0,0,1,1,0,,0,1868,0,16687000,16687000,0,,,,"06/30/08 00:00:00",512853088,301004223,,0,10967659,
1937,"STAFFORD",0,"Town of Stafford Pension Plan",0,0,0,1,0,0,0,,0,79,0,374166,374166,0,,,,"01/01/09 00:00:00",5002505,3263129,,0,-1882,
1938,"STAFFORD",0,"Town of Stafford Water Pollution Control Authority",0,0,0,0,0,0,0,"WPCA",1,6,0,31846,31846,0,,,,"01/01/09 00:00:00",550563,346728,,0,-6107,
1939,"STAFFORD",0,"Town of Stafford Board of Education",0,0,0,0,0,0,1,,0,177,0,382832,382832,0,,,,"01/01/09 00:00:00",5615095,3820711,,0,-23469,
1940,"Willington",0,"Town of Willington Pension Fund",0,0,1,0,0,0,0,,0,6,0,19511,16598,0,,,,"07/01/09 00:00:00",,,,1,-33487,
1941,"NAUGATUCK",0,"The Borough of Naugatuck Employee Pension Plan",0,0,1,0,0,0,0,,0,824,0,1617606,1608036,0,,,,"07/01/08 00:00:00",78743728,82836984,,0,-26772624,"***"
1942,"NAUGATUCK",0,"The Borough of Naugatuck Fire Plan",0,0,0,0,0,1,0,,0,73,0,646626,616200,0,,,,"07/01/08 00:00:00",23777245,26052059,,0,-8395697,"***"
1943,"HAMDEN",0,"Retirement Plan of The Town of Hamden",0,0,1,0,0,0,0,,0,1304,0,18292735,12500000,0,,,,"07/01/08 00:00:00",303003978,85832527,,0,118453407,
1944,"WILLINGTON",0,"Town of Willington Pension Fund",0,0,1,0,0,0,0,,0,6,0,19511,16598,0,,,,"07/01/09 00:00:00",,,,1,-33487,
1945,"SALISBURY",0,"Town of Salisbury Pension Plan",0,1,1,0,0,0,0,,0,11,0,58902,58902,0,,,,"01/01/08 00:00:00",1116273,1026327,,0,-231,
1946,"MONROE",0,"Town of Monroe Retirement Income Plan",0,0,0,1,0,1,0,"Supervisors, clerical, non-union, highway",1,121,0,138305,0,0,,,,"01/01/08 00:00:00",7967922,8221381,,0,90353,
1947,"MONROE",0,"Town of Monroe Board of Education Plan",0,0,0,0,0,0,1,,0,140,0,235677,235677,0,,,,"01/01/07 00:00:00",7743658,7241315,,0,-258430,
1948,"AVON",0,"Retirement Plan For Police Officers of Town of Avon",0,0,0,0,1,0,0,,0,35,0,647809,647809,0,,,,"01/01/07 00:00:00",16332911,9809097,,0,-7848,
1949,"AVON",0,"Retirement Plan For Public Works Employees of Town of Avon",0,0,0,0,0,0,0,"Public Works",1,18,0,259686,259686,0,,,,"01/01/07 00:00:00",5196224,2572578,,0,-718,
1950,"AVON",0,"Retirement Plan For Non-Organized Employees of Town of Avon",0,0,0,0,0,0,0,"Non-organized",1,60,0,609472,609472,0,,,,"01/01/07 00:00:00",12266859,7830949,,0,-13823,
1951,"AVON",0,"Retirement Plan For Board of Education of Town of Avon",0,0,0,0,0,0,1,,0,133,0,210811,227962,0,,,,"01/01/08 00:00:00",3983460,3477901,,0,-41420,
1952,"AVON",0,"Retirement Plan For Dispatchers of Town of Avon",0,0,0,0,0,0,0,"Dispatchers",1,4,0,14022,14022,0,,,,"01/01/07 00:00:00",677069,560893,,0,-4748,
1953,"BETHEL",0,"Town of Bethel Town Retirement  Plan",0,0,1,0,0,0,0,,0,242,0,1720256,1586326,0,,,,"07/01/09 00:00:00",24607570,12835835,,0,1370987,
1954,"BETHEL",0,"Town of Bethel Police Retirement  Plan",0,0,0,0,1,0,0,,0,43,0,478265,395519,0,,,,"07/01/09 00:00:00",8304102,4667268,,0,287473,
1955,"BETHLEHEM",0,,0,0,1,0,0,0,0,,0,,0,,,0,,,,,,,"The Town effectively transferred its legal obligation to provide specific employee pension plan benefits",0,,
1956,"BLOOMFIELD",0,"The Town of Bloomfield Retirement Income Plan",0,0,1,0,0,0,0,,0,351,0,1470158,1470158,0,,,,"01/01/08 00:00:00",38868637,31069087,,0,-639,
1957,"BLOOMFIELD",0,"The Town of Bloomfield Police Retirement Income Plan",0,0,0,0,1,0,0,,0,86,0,1277751,1277751,0,,,,"01/01/08 00:00:00",28052541,21969086,,0,0,
1958,"BROOKFIELD",0,"Town of Brookfield Pension Plan",0,0,1,0,0,0,0,,0,254,0,1119831,499126,0,,,,"01/01/08 00:00:00",26877510,24311602,,0,1495667,
1959,"CANTON",0,"Town of Canton Employee Retirement Plan",0,1,0,1,1,0,1,"Visiting Nurses Association",1,143,0,538373,576146,0,,,,"01/01/09 00:00:00",17914804,11872580,,0,515944,
1960,"CANTON",0,"Town of Canton Volunteer Firefighters and Ambulance Retirement Plan",1,1,0,0,0,1,0,"Ambulance",1,36,0,19723,19723,0,,,,"01/01/09 00:00:00",408972,206020,,0,57797,
1961,"CHESHIRE",0,"Town of Cheshire Pension Plan",0,0,1,0,0,0,0,,0,506,0,567159,567159,0,,,,"07/01/08 00:00:00",33391499,37610994,,0,586240,
1962,"CHESHIRE",0,"Town of Cheshire Pension Plan For Police Personnel",0,0,0,0,1,0,0,,0,74,0,196834,196834,0,,,,"07/01/08 00:00:00",25487057,26101814,,0,813,
1963,"CHESHIRE",0,"Town of Chesire Volunteer Fire Plan",1,0,0,0,0,1,0,,0,125,0,121109,24035,0,,,,"07/01/08 00:00:00",1432140,629104,,0,112966,
1964,"CHESTER",0,"Town of Chester Employee Retirement Plan",0,0,1,0,0,0,0,,0,25,0,60434,56000,0,,,,"01/01/09 00:00:00",,,,1,67250,
1965,"CHESTER",0,"Town of Chester Volunteer Firefighter Retirement Plan",1,0,0,0,0,1,0,,0,54,0,20955,19000,0,,,,"07/01/08 00:00:00",,,,1,-1978,
1966,"COLCHESTER",0,"Town of Colchester Police Pension Plan",0,0,0,0,1,0,0,,0,11,0,45732,64866,0,,,,"07/01/08 00:00:00",364546,175781,,0,-24691,
1967,"COVENTRY",0,"Retirement Plan For Employees of The Town of Coventry",0,0,1,0,0,0,0,,0,174,0,765258,0,0,,,,"07/01/08 00:00:00",9631610,6376577,,0,339811,
1968,"CROMWELL",0,"Town of Cromwell Pension Plan",0,0,1,0,0,0,0,,0,262,0,535942,535942,0,,,,"07/01/08 00:00:00",13176495,13618774,,0,-5073,
1969,"DANBURY",0,"General Employees' Pension Plan",0,0,1,0,0,0,0,,0,1206,0,0,0,0,,,,"07/01/07 00:00:00",93792699,112567220,,0,0,
1970,"DANBURY",0,"Pre 1967 Police Pension Plan",0,1,0,0,1,0,0,,0,37,0,845000,845000,0,,,,"07/01/07 00:00:00",11566937,6713395,,0,0,
1971,"DANBURY",0,"Pre 1967 Fire Pension Plan",0,1,0,0,0,1,0,,0,32,0,552000,552000,0,,,,"07/01/07 00:00:00",9425747,5748743,,0,0,
1972,"DANBURY",0,"Post 1967 Police Pension Plan",0,1,0,0,1,0,0,,0,104,0,0,0,0,,,,"07/01/08 00:00:00",52905479,57259302,,0,0,
1973,"DANBURY",0,"Post 1967 Fire Pension Plan",0,0,0,0,0,1,0,,0,193,0,0,694,0,,,,"07/01/08 00:00:00",60820930,67128480,,0,0,
1974,"DANBURY",0,"Post 1983 Police Pension Plan",0,0,0,0,1,0,0,,0,140,0,889000,889000,0,,,,"07/01/08 00:00:00",17264266,14419318,,0,0,
1975,"DARIEN",0,"Town of Darien Town Pension Fund",0,0,1,0,0,0,0,,0,536,0,1231739,1231739,0,,,,"07/01/08 00:00:00",35427363,31440757,,0,0,
1976,"DARIEN",0,"Town of Darien Police Pension Fund",0,0,0,0,1,0,0,,0,103,0,800558,800558,0,,,,"07/01/08 00:00:00",28911419,24830877,,0,0,
1977,"EAST HAMPTON",0,"East Hampton Employees' Retirement Plan",0,0,1,0,0,0,0,,0,316,0,595784,717193,0,,,,"01/01/09 00:00:00",20814052,17381622,,0,-1194975,
1978,"EAST HARTFORD",0,"East Hartford Employees' Retirement Plan",0,0,1,0,0,0,0,,0,1425,0,7407000,7407000,0,,,,"07/01/08 00:00:00",238447000,183323000,,0,1325000,
1979,"EAST LYME",0,"Employee Pension Plan Ga-1006",0,0,1,0,0,0,0,,0,202,0,675251,675251,0,,,,"06/30/09 00:00:00",13299312,7616354,,0,-39049,
1980,"ENFIELD",0,"Town of Enfield Pension Plan Gr-1663",0,0,1,0,0,0,0,,0,801,0,1171000,1171000,0,,,,"07/01/08 00:00:00",40505000,41426000,,0,0,
1981,"ENFIELD",0,"Town of Enfield Police Department Pension Plan - Gr2299",0,0,0,0,1,0,0,,0,150,0,785000,785000,0,,,,"07/01/08 00:00:00",40027000,37429000,,0,0,
1982,"ESSEX",0,"Town of Essex Employees' Retirement Plan",0,0,1,0,0,0,0,,0,47,0,81056,81056,0,,,,"07/01/07 00:00:00",1996206,1855401,,0,-11079,
1983,"ESSEX",0,"Town of Essex Merit Service Plan",1,0,0,0,0,1,0,,0,64,0,63671,63671,0,,,,"07/01/07 00:00:00",790089,507218,,0,-5413,
1984,"ESSEX",0,"Town of Essex Police Retirement Plan",0,0,0,0,1,0,0,,0,6,0,39473,39473,0,,,,"07/01/07 00:00:00",426580,344922,,0,0,
1985,"FARMINGTON",0,"Town of Farmington Retirement Income Plan",0,0,1,0,0,0,0,,0,533,0,1135040,1183279,0,,,,"07/01/08 00:00:00",71510628,65598547,,0,-319895,
1986,"GLASTONBURY",0,"Town of Glastonbury Pension Plan",0,0,1,0,0,0,0,,0,792,0,2371688,2371688,0,,,,"01/01/09 00:00:00",106513358,77835016,,0,-151159,
1987,"GRANBY",0,"Town of Granby Pension Plan",0,0,1,0,0,0,0,,0,103,0,291266,291266,0,,,,"07/01/07 00:00:00",12094823,10100140,,0,91583,
1988,"GREENWICH",0,"Retirement System of The Town of Greenwich",0,0,1,0,0,0,0,,0,2458,0,6619188,6619188,0,,,,"07/01/08 00:00:00",349526917,343200040,,0,0,
1989,"GROTON",0,"Town of Groton - Retirement System",0,0,1,0,0,0,0,,0,640,0,1367891,1367891,0,,,,"07/01/08 00:00:00",84196700,86317508,,0,-1088430,
1990,"HADDAM",0,"Town of Haddam Employee Pension Plan",0,0,1,0,0,0,0,,0,40,0,186591,420834,0,,,,"01/01/08 00:00:00",2773515,2197305,,0,281194,
1991,"HADDAM",0,"Town of Haddam Volunteer Firefighter's Plan",1,0,0,0,0,1,0,,0,110,0,100909,59080,0,,,,"07/01/09 00:00:00",1415228,878949,,0,58623,
1992,"HARTFORD",0,"City MERF",0,0,1,0,0,0,0,,0,5471,0,11797000,12829000,0,,,,"07/01/08 00:00:00",1099441000,1123379000,,0,5586000,
1993,"HARTFORD",0,"RAF/PBF/FRF pre 5/1/1947 PLAN",0,1,0,0,0,0,0,,1,261,0,1770000,1770000,0,,,,"07/01/08 00:00:00",7700000,0,,0,0,
1994,"KILLINGLY",0,"Town of Killingly Retirement Income Plan",0,0,1,0,0,0,0,,0,158,0,14654,14654,0,,,,"07/01/08 00:00:00",4688676,5211352,,0,0,
1995,"LEDYARD",0,"Town of Ledyard Pension Plan",0,0,1,0,0,0,0,,0,228,0,1133968,1231247,0,,,,"07/01/08 00:00:00",11045000,0,,0,868466,
1996,"LITCHFIELD",0,"Town of Litchfield Municipal Employees Retirement Plan",0,0,1,0,0,0,0,,0,174,0,609000,530000,0,,,,"07/01/09 00:00:00",10517000,5051000,,0,-171000,
1997,"LITCHFIELD",0,"Volunteer Fire Dept. Supplemental Retirement Plan",1,0,0,0,0,1,0,,0,249,0,160000,146000,0,,,,"07/01/09 00:00:00",3155000,1641000,,0,-245000,
1998,"MERIDEN",0,"Meriden Employees' Retirement Plan",0,0,1,0,0,0,0,,0,1168,0,764137,764137,0,,,,"07/01/08 00:00:00",123480133,140853728,,0,-330669,
1999,"MERIDEN",0,"Meriden Police Pension Plan",0,0,0,0,1,0,0,,0,208,0,3556861,3556861,0,,,,"07/01/08 00:00:00",89709424,60974656,,0,13014329,
2000,"MERIDEN",0,"Meriden Firemen's Pension Plan",0,0,0,0,0,1,0,,0,181,0,2464361,2464361,0,,,,"07/01/08 00:00:00",70302239,51281856,,0,12760025,
2001,"MIDDLEBURY",0,"Town of Middlebury Retirement Plan",0,0,1,0,0,0,0,,0,95,0,456716,472001,0,,,,"07/01/09 00:00:00",14220945,9763201,,0,-15285,
2002,"MIDDLETOWN",0,"City of Middletown Retirement System",0,0,1,0,0,0,0,,0,933,0,585000,585000,0,,,,"07/01/08 00:00:00",218014000,281523000,,0,-2,
2003,"NEW BRITAIN",0,"New Britain Firemen's Pension Fund",0,0,0,0,0,1,0,,0,242,0,211000,215000,0,,,,"01/01/09 00:00:00",78501000,82462000,,0,-1585000,"***"
2004,"NEW BRITAIN",0,"New Britain Policemen's Pension Fund",0,0,0,0,1,0,0,,0,263,0,85000,85000,0,,,,"01/01/09 00:00:00",80340000,79361000,,0,-447000,"***"
2005,"NEW CANAAN",0,"Town of New Canaan Retirement Plan",0,0,1,0,0,0,0,,0,819,0,0,0,0,,,,"07/01/08 00:00:00",87148036,111383887,,0,0,
2006,"NEWTOWN",0,"Town of Newtown Selectmen And Board of Education Pension Plan",0,0,0,0,0,0,1,"Board of Selectman and Board of Education and Civilian Police Dept. personnel",1,425,0,374614,374595,0,,,,"07/01/09 00:00:00",16463315,16351188,,0,-271175,
2007,"NEWTOWN",0,"Town of Newtown Pension Plan For Police",0,0,0,0,1,0,0,,0,67,0,325909,325844,0,,,,"07/01/09 00:00:00",12128768,10932466,,0,-63794,
2008,"NORFOLK",0,"Town of Norfolk Pension Plan",0,0,1,0,0,0,0,,0,35,0,122515,122515,0,,,,"07/01/07 00:00:00",1111715,896157,,0,21151,
2009,"NORWALK",0,"Employees' Pension Plan",0,0,0,1,0,0,0,,1,1352,0,832452,863067,0,,,,"07/01/08 00:00:00",164871892,184115610,,0,524623,
2010,"NORWALK",0,"Fire Benefit Fund",0,0,0,0,0,1,0,,0,276,0,62744,62744,0,,,,"07/01/08 00:00:00",84666362,97165470,,0,0,
2011,"NORWALK",0,"Food Service Employees' Plan",0,0,0,0,0,0,0,"Food Service",1,94,0,74182,74182,0,,,,"07/01/08 00:00:00",2025521,1579233,,0,-74212,
2012,"NORWALK",0,"Police Benefit Fund",0,0,0,0,1,0,0,,0,312,0,1267867,1267867,0,,,,"07/01/08 00:00:00",97873967,94636631,,0,927972,
2013,"NORWICH",0,"City of Norwich Employees' Retirement Fund",0,0,1,0,0,0,0,,0,1011,0,3037000,3216000,0,,,,"01/01/08 00:00:00",165406000,157020000,,0,-32000,
2014,"NORWICH",0,"City of Norwich Volunteer Firefighters' Relief Plan",1,0,0,0,0,1,0,,0,187,0,247000,250000,0,,,,"01/01/08 00:00:00",3810000,1299000,,0,112000,
2015,"OLD SAYBROOK",0,"Town of Old Saybrook Retirement Plan",0,0,1,0,0,0,0,,0,159,0,24371,283054,0,,,,"07/01/07 00:00:00",14901747,17514675,,0,-2114887,
2016,"PLAINVILLE",0,"Town of Plainville Retirement Plan - Municipal Employees",0,0,1,0,0,0,0,,0,148,0,316014,316014,0,,,,"07/01/08 00:00:00",11899846,10380196,,0,0,
2017,"PLAINVILLE",0,"Town of Plainville Retirement Plan For Policemen",0,0,0,0,1,0,0,,0,59,0,259160,259160,0,,,,"07/01/08 00:00:00",11978786,11193333,,0,0,
2018,"PORTLAND",0,"Town of Portland Defined Benefit Plan",0,0,1,0,0,0,0,,0,158,0,1045579,998995,0,,,,"07/01/08 00:00:00",15654545,9855151,,0,-158623,
2019,"PORTLAND",0,"Portland Volunteer Fire Department Plan",1,0,0,0,0,1,0,,0,82,0,46816,38500,0,,,,"07/01/08 00:00:00",453963,68427,,0,-30320,
2020,"SOMERS",0,"Town of Somers Town Plan",0,0,1,0,0,0,0,,0,29,0,155873,155873,0,,,,"07/01/08 00:00:00",1436982,998472,,0,32912,
2021,"SOMERS",0,"Town of Somers Board of Education Plan",0,0,0,0,0,0,1,,0,77,0,200162,200162,0,,,,"07/01/08 00:00:00",2854225,2216930,,0,-3828,
2022,"SOMERS",0,"Town of Somers Firefighters' Plan",1,0,0,0,0,1,0,,0,75,0,15180,15180,0,,,,"07/01/08 00:00:00",251838,174801,,0,23260,
2023,"SOUTHBURY",0,"Town of Southbury Retirement Income Plan",0,0,1,0,0,0,0,,0,167,0,430307,435000,0,,,,"07/01/08 00:00:00",11391583,11337498,,0,-154713,
2024,"STONINGTON",0,"Town of Stonington Retirement Plan",0,0,0,1,0,0,1,,0,354,0,869139,944785,0,,,,"07/01/08 00:00:00",22649059,18683172,,0,-166729,
2025,"THOMASTON",0,"Town of Thomaston Retirement Plan",0,0,1,0,0,0,0,,0,169,0,880798,753078,0,,,,"01/01/09 00:00:00",14817407,9645552,,0,735162,
2026,"TORRINGTON",0,"City of Torrington Police And Firemen's Retirement Fund",0,0,0,0,1,1,0,,0,278,0,2523618,2536618,0,,,,"07/01/08 00:00:00",57231580,34783395,,0,359383,
2027,"TORRINGTON",0,"City of Torrington Municipal Employees' Retirement Fund",0,0,0,1,0,0,1,,1,277,0,1051488,1197536,0,,,,"07/01/08 00:00:00",31480212,25108239,,0,573220,
2028,"TORRINGTON",0,"City of Torrington Board of Education Employees' Retirement Fund",0,0,0,0,0,0,0,,0,,1,,,0,,,,,,,,0,,
2029,"TRUMBULL",0,"Town of Trumbull Police Benefit Retirement Plan",0,0,0,0,1,0,0,,0,110,0,2369000,1250000,0,,,,"07/01/08 00:00:00",46416172,33154094,,0,18396790,
2030,"TRUMBULL",0,"Town of Trumbull Retirement Plan",0,0,1,0,0,0,0,,0,824,0,3911000,1825000,0,,,,"07/01/08 00:00:00",57704539,19572031,,0,26032945,
2031,"VERNON",0,"Police Pension Plan",0,0,0,0,1,0,0,,0,87,0,1107688,1107688,0,,,,"01/01/09 00:00:00",24985131,15349405,,0,0,
2032,"VERNON",0,"Town Pension Plan",0,0,0,1,0,0,1,,1,618,0,1750787,1750787,0,,,,"01/01/09 00:00:00",40929548,24412641,,0,0,
2033,"VERNON",0,"Volunteer Fire Dept. Retirement Plan",1,0,0,0,0,1,0,,0,158,0,83206,83206,0,,,,"01/01/09 00:00:00",806210,745780,,0,0,
2034,"WALLINGFORD",0,"Town of Wallingford Consolidated Pension Plan",0,0,1,0,0,0,0,,0,1200,0,3317000,3317000,0,,,,"07/01/08 00:00:00",168851000,146523000,,0,-22000,
2035,"WALLINGFORD",0,"Town of Wallingford Volunteer Firefighters Plan",1,0,0,0,0,1,0,,0,147,0,31000,31000,0,,,,"07/01/07 00:00:00",936000,928000,,0,-20000,
2036,"WATERBURY",0,"City of Waterbury Retirement Fund",0,0,1,0,0,0,0,,0,3947,0,41610000,44475000,0,,,,"07/01/08 00:00:00",527860000,68756000,,0,77021000,
2037,"WATERFORD",0,"Town of Waterford Pension Trust Fund Plan",0,0,1,0,0,0,0,,0,25,0,63081,63081,0,,,,"07/01/07 00:00:00",1610681,1149217,,0,0,
2038,"WEST HARTFORD",0,"Town of West Hartford Pension Fund",0,0,1,0,0,0,0,,0,1935,0,6813000,6812000,0,,,,"07/01/08 00:00:00",244095000,178201000,,0,-1506000,
2039,"WESTBROOK",0,"Westbrook Retirement Plan",0,0,1,0,0,0,0,,0,120,0,176748,188414,0,,,,"07/01/09 00:00:00",5166533,4885841,,0,4190,
2040,"WESTBROOK",0,"Westbrook Volunteer Firefighters' Pension Fund",1,0,0,0,0,1,0,,0,77,0,79026,79026,0,,,,"07/01/09 00:00:00",1135667,542369,,0,35844,
