Entity,Plan Name,Record Num,Type of Plan,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
"BROOKLYN","Fire Department Service Award Program For Town of Brooklyn",650,0,1,0,0,0,0,0,1,0,,0,87,0,,,,1013462,40037,3.7499999999999999e-02,3.7499999999999999e-02,9.9999999999999995e-07,80046,80046,,"2015-06-30 00:00:00",1
"BURLINGTON","Town of Burlington Employees Pension Plan",651,0,0,0,0,1,0,0,0,0,,0,23,0,,,,2301018,1828992,7.0000000000000007e-02,7.0000000000000007e-02,4.2599999999999999e-02,155390,224375,1163324,"2014-07-01 00:00:00",0
"BURLINGTON","Town of Burlington Constables Plan",652,0,0,0,0,0,0,1,0,0,,0,5,0,,,,701667,637364,7.0000000000000007e-02,7.0000000000000007e-02,4.3200000000000002e-02,28296,28229,346460,,0
"CLINTON","Police Employees' Retirement Plan",653,0,0,0,0,0,0,1,0,0,,0,44,0,,,,18458582,11432956,7.8000000000000000e-02,7.8000000000000000e-02,3.2899999999999999e-02,1023233,975000,1880000,"2015-06-30 00:00:00",1
"CLINTON","Board of Education Noncertified Personnel Pension Plan",654,0,0,0,0,0,0,0,0,1,,0,110,0,,,,7033927,5011436,7.0000000000000007e-02,7.0000000000000007e-02,1.0200000000000001e-02,330777,330777,2441982,"2015-06-30 00:00:00",1
"DEEP RIVER","Town of Deep River Employee's Retirement Plan",655,0,0,0,0,1,0,0,0,0,,0,35,0,,,,3511751,2482055,5.9999999999999998e-02,5.9999999999999998e-02,1.6899999999999998e-02,260189,455724,1513578,"2013-07-01 00:00:00",1
"DEEP RIVER","Firefighters' Merit Plan",656,0,1,0,0,0,0,0,1,0,,0,47,0,,,,529533,403148,7.4999999999999997e-02,7.4999999999999997e-02,1.6600000000000000e-02,36104,25550,,"2013-07-01 00:00:00",1
"DERBY","City of Derby Public Employee Retirement System",657,0,0,0,0,1,0,0,0,0,,0,186,0,,,,16647371,13561047,7.4999999999999997e-02,7.4999999999999997e-02,,849200,572000,4776920,"2015-06-30 00:00:00",0
"DURHAM","Retirement Plan For Employees of The Town of Durham",658,0,0,0,0,1,0,0,0,0,,0,44,0,,,,3677008,2404086,7.4999999999999997e-02,7.4999999999999997e-02,3.0710000000000001e-02,188652,188652,1461620,"2014-07-01 00:00:00",1
"EAST HADDAM","East Haddam Volunteer Fire Plan",659,0,1,0,0,0,0,0,1,0,,0,42,0,,,,656689,493177,5.4899999999999997e-02,5.4899999999999997e-02,1.2900000000000000e-02,29915,64601,,"2015-06-30 00:00:00",1
"EAST WINDSOR","Town of East Windsor Pension Plan",660,0,0,0,0,1,0,0,0,0,,0,237,0,,,,25162891,21122930,7.0000000000000007e-02,7.0000000000000007e-02,4.5400000000000003e-02,959089,959089,6555889,"2014-07-01 00:00:00",0
"EASTON","Town of Easton Retirement Plans I and II",661,0,0,0,0,0,1,0,0,1,,0,182,0,,,,18317009,16705436,7.0000000000000007e-02,7.0000000000000007e-02,-3.3999999999999998e-03,345204,574570,4177769,"2014-07-01 00:00:00",1
"FAIRFIELD","Town of Fairfield Town Employees Retirement Plan",662,0,0,0,0,0,1,0,0,1,,0,1155,0,,,,198315000,182848000,7.4999999999999997e-02,7.4999999999999997e-02,2.5899999999999999e-02,4964000,4964000,32922000,"2014-07-01 00:00:00",1
"FAIRFIELD","Town of Fairfield Police and Fire Retirement Plan",663,0,0,0,0,0,0,1,1,0,,0,411,0,,,,185938000,171131000,7.4999999999999997e-02,7.4999999999999997e-02,2.6200000000000001e-02,5092000,5092000,14072000,"2014-07-01 00:00:00",1
"AVON","Retirement Plan for Town Employees",665,0,0,1,0,1,0,0,0,0,,0,98,0,"Valuation Date per RSI Schedule on p. 69.  Bill believes that the actuarial valuation date of 6/30/15 listed on p. 50 means for the fiscal year end starting 7/1/14.",,,41627700,17415058,7.3749999999999996e-02,7.3749999999999996e-02,2.3399999999999997e-02,2611489,2611489,1244618,"2014-07-01 00:00:00",1
"AVON","Retirement Plan For Board of Education of Town of Avon",666,0,0,1,0,0,0,0,0,1,,0,197,0,"Valuation Date per RSI Schedule on p. 70.   Bill believes that the actuarial valuation date of 6/30/15 listed on p. 52 means for the fiscal year end starting 7/1/14.",,,9329316,7614223,7.4999999999999997e-02,7.4999999999999997e-02,2.4199999999999999e-02,506967,506967,4580259,"2014-07-01 00:00:00",1
"BETHANY","Bethany Volunteer Fire Association Plan",667,0,1,0,0,0,0,0,1,0,,0,,0,"Valuation method and discount rate are not listed in notes.",,,499878,334649,4.0000000000000001e-02,,3.5000000000000003e-02,15301,40000,,"2015-06-30 00:00:00",0
"BETHEL","Town of Bethel Town Retirement  Plan",668,0,0,0,0,1,0,0,0,0,,0,242,0,"Actuarial Valuation Date--Found in Note 10, top of page 58.",,,30307889,25738059,6.7500000000000004e-02,6.7500000000000004e-02,2.4000000000000000e-02,2013334,3083429,7607181,"2014-07-01 00:00:00",1
"BETHEL","Town of Bethel Police Retirement  Plan",669,0,0,0,0,0,0,1,0,0,,0,46,0,"Actuarial Valuation Date--Found in Note 10, top of page 58.",,,14297296,9049718,6.7500000000000004e-02,6.7500000000000004e-02,2.6699999999999998e-02,612450,472000,2407527,"2014-07-01 00:00:00",1
"BLOOMFIELD","The Town of Bloomfield Retirement Income Plan",670,0,0,0,0,1,0,0,0,0,,0,380,0,,,,58322728,42906690,7.4999999999999997e-02,7.4999999999999997e-02,3.0800000000000001e-02,2629169,2629167,9333616,"2014-01-01 00:00:00",0
"BLOOMFIELD","The Town of Bloomfield Police Retirement Income Plan",671,0,0,0,0,0,0,1,0,0,,0,87,0,,,,41032349,26643719,7.4999999999999997e-02,7.4999999999999997e-02,3.1099999999999999e-02,2073888,2073888,2378489,"2014-01-01 00:00:00",0
"BRISTOL","City of Bristol Retirement System",672,0,0,0,0,0,1,0,0,1,,0,1277,0,,,,198811928,209132881,7.4999999999999997e-02,7.4999999999999997e-02,5.1999999999999998e-03,507245,127325,30661306,"2014-07-01 00:00:00",1
"BRISTOL","City of Bristol Firefighter's Benefit Fund",673,0,0,0,0,0,0,0,1,0,,0,185,0,,,,71041708,183324500,7.4999999999999997e-02,7.4999999999999997e-02,5.1999999999999998e-03,0,0,5556190,"2014-07-01 00:00:00",1
"BRISTOL","City of Bristol Police Benefit Fund",674,0,0,0,0,0,0,1,0,0,,0,232,0,,,,110143364,197929600,7.4999999999999997e-02,7.4999999999999997e-02,5.1999999999999998e-03,0,0,8498327,"2014-07-01 00:00:00",1
"BROOKFIELD","Town of Brookfield Pension Plan",675,0,0,0,0,1,0,0,0,0,,0,263,0,,,,44183810,43142438,6.5000000000000002e-02,6.5000000000000002e-02,3.5900000000000001e-02,1622929,1622929,9360761,"2014-01-01 00:00:00",1
"CANTON","Town of Canton Employee Retirement Plan",676,0,0,1,0,1,0,0,0,0,,0,128,0,,,,22294523,15115397,6.5000000000000002e-02,6.5000000000000002e-02,1.8500000000000003e-02,1043495,1043495,1503323,"2015-01-01 00:00:00",1
"CANTON","Town of Canton Volunteer Firefighters and Ambulance Retirement Plan",677,0,1,1,0,0,0,0,1,0,"Ambulance",1,32,0,,,,460793,266061,6.5000000000000002e-02,6.5000000000000002e-02,2.2099999999999998e-02,34824,41800,,"2015-01-01 00:00:00",1
"CHESHIRE","Town of Cheshire Pension Plan",678,0,0,1,0,1,0,0,0,0,,0,520,0,"8/30/16-Per BP, use 2 for the number of DC plans.  Consider teacher's and police plans as DC.",,,52952622,41290743,7.4999999999999997e-02,7.4999999999999997e-02,1.3500000000000002e-02,2096584,1840124,11411022,"2014-07-01 00:00:00",1
"CHESHIRE","Town of Cheshire Pension Plan For Police Personnel",679,0,0,1,0,0,0,1,0,0,,0,86,0,,,,41697112,25864922,7.4999999999999997e-02,7.4999999999999997e-02,1.3200000000000000e-02,1205946,852765,4146467,"2014-07-01 00:00:00",1
"CHESHIRE","Town of Chesire Volunteer Fire Plan",680,0,1,0,0,0,0,0,1,0,,0,102,0,,,,3468477,1267747,7.4999999999999997e-02,7.4999999999999997e-02,-3.5999999999999999e-03,241200,241200,,"2014-07-01 00:00:00",1
"CHESTER","Town of Chester Employee Retirement Plan",681,0,0,0,0,1,0,0,0,0,,0,28,0,,,,2081408,1334825,6.5000000000000002e-02,6.5000000000000002e-02,2.6099999999999998e-02,155733,155733,839376,"2015-01-01 00:00:00",1
"CHESTER","Town of Chester Volunteer Firefighter Retirement Plan",682,0,1,0,0,0,0,0,1,0,,0,68,0,,,,691936,562531,5.9999999999999998e-02,5.9999999999999998e-02,5.3600000000000002e-02,28526,28562,,"2014-01-01 00:00:00",1
"COLCHESTER","Town of Colchester Police Pension Plan",683,0,0,0,0,0,0,1,0,0,,0,10,0,,,,1859164,1473187,7.4999999999999997e-02,7.4999999999999997e-02,1.9299999999999998e-02,106914,100616,694695,"2014-07-01 00:00:00",1
"COVENTRY","Retirement Plan For Employees of The Town of Coventry",684,0,0,0,0,1,0,0,0,0,,0,178,0,,,,14544122,12606985,7.4999999999999997e-02,7.4999999999999997e-02,1.2500000000000001e-02,673765,673765,5828844,"2014-07-01 00:00:00",1
"CROMWELL","Town of Cromwell Pension Plan",685,0,0,0,0,1,0,0,0,0,,0,277,0,"Actuarial Valuation Date--Pg. 43 bottom & p. 44 top state 7/1/13.  P. 41 top states valuation date is 7/1/14.  Used 7/1/13 per BP on 9/9/16.",,,23081623,20788861,7.4999999999999997e-02,7.0999999999999994e-02,1.8900000000000000e-02,704153,704153,9153162,"2013-07-01 00:00:00",1
"DANBURY","General Employees' Pension Plan",686,0,0,0,0,1,0,0,0,0,,0,1192,0,,,,139426682,106573144,7.2499999999999995e-02,7.2499999999999995e-02,3.7900000000000003e-02,3776000,3776000,26806000,"2013-07-01 00:00:00",1
"DANBURY","Pre 1967 Police Pension Plan",687,0,0,1,0,0,0,1,0,0,,0,32,0,,,,7553761,2635275,7.2499999999999995e-02,7.2499999999999995e-02,3.3900000000000000e-02,655000,655000,,"2013-07-01 00:00:00",1
"DANBURY","Pre 1967 Fire Pension Plan",688,0,0,1,0,0,0,0,1,0,,0,22,0,,,,6140850,2882653,7.2499999999999995e-02,7.2499999999999995e-02,3.6299999999999999e-02,415000,415000,,"2013-07-01 00:00:00",1
"DANBURY","Post 1967 Police Pension Plan",689,0,0,1,0,0,0,1,0,0,,0,99,0,,,,57920766,45664389,7.2499999999999995e-02,7.2499999999999995e-02,3.7900000000000003e-02,803000,803000,1138000,"2014-07-01 00:00:00",1
"DANBURY","Post 1967 Fire Pension Plan",690,0,0,1,0,0,0,0,1,0,,0,193,0,,,,88632015,69274284,7.2499999999999995e-02,7.2499999999999995e-02,3.8399999999999997e-02,2010000,2010000,8461000,"2014-07-01 00:00:00",1
"DANBURY","Post 1983 Police Pension Plan",691,0,0,0,0,0,0,1,0,0,,0,167,0,,,,46492098,29104395,7.2499999999999995e-02,7.2499999999999995e-02,3.7499999999999999e-02,2114000,2115030,10247000,"2014-07-01 00:00:00",1
"DANBURY","Post 2011 Fire Pension Plan",692,0,0,0,0,0,0,0,1,0,,0,14,0,,,,171973,147970,7.2499999999999995e-02,7.2499999999999995e-02,1.0000000000000000e-04,41000,70797,749360,"2013-07-01 00:00:00",1
"DARIEN","Town of Darien Town Pension Fund",693,0,0,0,0,1,0,0,0,0,,0,535,0,,,,61851491,65992512,6.5000000000000002e-02,6.5000000000000002e-02,6.4199999999999993e-02,1716498,1716498,19045747,"2014-07-01 00:00:00",1
"DARIEN","Town of Darien Police Pension Fund",694,0,0,0,0,0,0,1,0,0,,0,105,0,,,,40688958,45791663,6.5000000000000002e-02,6.5000000000000002e-02,6.2800000000000009e-02,1073353,1073353,4888424,"2014-07-01 00:00:00",1
"EAST HAMPTON","East Hampton Employees' Retirement Plan",695,0,0,0,0,1,0,0,0,0,,0,364,0,,,,34691573,27544187,7.1249999999999994e-02,7.1249999999999994e-02,2.3599999999999999e-02,980548,982321,7300421,"2014-07-01 00:00:00",1
"NORWICH","City of Norwich Volunteer Firefighters' Relief Plan",749,0,1,0,0,0,0,0,1,0,,0,187,0,,,,5224000,2182000,7.0000000000000007e-02,7.0000000000000007e-02,6.9999999999999993e-03,304000,333000,,"2014-01-01 00:00:00",0
"OLD SAYBROOK","Town of Old Saybrook Retirement Plan",750,0,0,0,0,1,0,0,0,0,,0,201,0,,,,29842612,19643479,8.0000000000000002e-02,5.6799999999999996e-02,3.9500000000000000e-02,758105,437437,4627012,"2014-07-01 00:00:00",1
"OLD SAYBROOK","Town of Old Saybrook Fire Company #1 Retirement Plan",751,0,1,0,0,0,0,0,1,0,,0,102,0,,,,1658184,859875,8.0000000000000002e-02,8.0000000000000002e-02,3.9500000000000000e-02,117695,117695,,"2013-07-01 00:00:00",1
"ORANGE","Town of Orange Employee Pension And Retirement Income Plan",752,0,0,1,0,1,0,0,0,0,,0,85,0,,,,10461266,8040487,7.4999999999999997e-02,7.4999999999999997e-02,2.0499999999999997e-02,267093,267093,932129,"2015-01-01 00:00:00",1
"ORANGE","Retirement Plan For Police Officers of Town of Orange",753,0,0,1,0,0,0,1,0,0,,0,49,0,,,,22987938,15470566,7.4999999999999997e-02,7.4999999999999997e-02,2.0499999999999997e-02,741942,741942,1228515,"2015-01-01 00:00:00",1
"PLAINFIELD","Town of Plainfield Employees' Retirement Plan",754,0,0,0,0,1,0,0,0,0,,0,376,0,,,,21967059,17526033,7.4999999999999997e-02,7.4999999999999997e-02,4.1999999999999997e-03,1448874,1174169,6555889,"2015-06-30 00:00:00",0
"PLAINVILLE","Town of Plainville Retirement Plan - Municipal Employees",755,0,0,1,0,1,0,0,0,0,,0,124,0,,,,15459291,12643255,7.7499999999999999e-02,7.7499999999999999e-02,3.5699999999999996e-02,379054,414054,1302116,"2014-07-01 00:00:00",1
"PLAINVILLE","Town of Plainville Retirement Plan For Policemen",756,0,0,0,0,0,0,1,0,0,,0,70,0,,,,16088290,13904723,7.7499999999999999e-02,7.7499999999999999e-02,3.5400000000000001e-02,451397,511310,2134699,"2014-07-01 00:00:00",1
"PORTLAND","Town of Portland Defined Benefit Plan",757,0,0,0,0,1,0,0,0,0,,0,153,0,,,,25118527,16574525,7.4999999999999997e-02,7.4999999999999997e-02,1.6600000000000000e-02,912288,908709,3893949,"2014-07-01 00:00:00",1
"PORTLAND","Portland Volunteer Fire Department Plan",758,0,1,0,0,0,0,0,1,0,,0,69,0,,,,1135825,181274,5.9999999999999998e-02,5.9999999999999998e-02,-7.0999999999999995e-03,83980,72840,,"2014-07-01 00:00:00",1
"PUTNAM","Town of Putnam Pension Plan",759,0,0,0,0,1,0,0,0,0,,0,215,0,"Actuarial Cost Method not reported in notes or RSI.  Aggregate Method used for contribution rates per p. 61.",,,10308440,11815528,7.0000000000000007e-02,7.0000000000000007e-02,2.8600000000000000e-02,199837,415283,4313562,"2014-07-01 00:00:00",0
"SALISBURY","Town of Salisbury Pension Plan",760,0,0,1,0,1,0,0,0,0,,0,6,0,"Note:  Used covered payroll amt. from. P. 42.  The FY 2014 covered p/r amt. on this page is what we used for last year's indicators.",,,1036736,843280,7.4999999999999997e-02,7.4999999999999997e-02,3.5499999999999997e-02,62983,62983,156328,"2014-01-01 00:00:00",1
"SHERMAN","Town of Sherman Pension Plan",761,0,0,1,0,1,0,0,0,0,,0,32,0,"Note:  I do not see where employee covered payroll is listed.",,,926604,940792,5.9999999999999998e-02,5.9999999999999998e-02,1.1200000000000002e-02,7876,67000,,"2015-07-01 00:00:00",0
"SOMERS","Town of Somers Town Plan",762,0,0,0,0,1,0,0,0,0,,0,37,0,,,,3097905,3013247,6.5000000000000002e-02,6.5000000000000002e-02,6.7299999999999999e-02,131852,131852,1367760,"2013-07-01 00:00:00",0
"SOMERS","Town of Somers Board of Education Plan",763,0,0,0,0,0,0,0,0,1,,0,88,0,,,,5094678,3913678,5.9999999999999998e-02,5.9999999999999998e-02,1.1599999999999999e-02,246409,246409,1642588,"2014-07-01 00:00:00",0
"SOMERS","Town of Somers Firefighters' Plan",764,0,1,0,0,0,0,0,1,0,,0,75,0,,,,303434,334515,6.5000000000000002e-02,6.5000000000000002e-02,4.2000000000000003e-02,11577,11577,,"2013-07-01 00:00:00",0
"SOUTHBURY","Town of Southbury Retirement Income Plan",765,0,0,0,0,1,0,0,0,0,,0,186,0,,,,20612975,16553116,7.0000000000000007e-02,7.0000000000000007e-02,1.0600000000000000e-02,950764,1075764,5161863,"2014-07-01 00:00:00",1
"STAFFORD","Town of Stafford Pension Plan",766,0,0,1,0,1,0,0,0,0,,0,293,0,,,,20380615,13291284,7.7499999999999999e-02,7.2499999999999995e-02,1.3800000000000000e-02,1062864,1062864,6082745,"2013-01-01 00:00:00",1
"STONINGTON","Town of Stonington Retirement Plan",767,0,0,0,0,1,0,0,0,0,,0,363,0,,,,32834916,29490354,6.7500000000000004e-02,6.7500000000000004e-02,8.3000000000000001e-03,1083331,1103588,9007063,"2014-07-01 00:00:00",1
"THOMASTON","Town of Thomaston Retirement Plan",768,0,0,1,0,1,0,0,0,0,,0,160,0,,,,19636752,14610236,7.0000000000000007e-02,7.0000000000000007e-02,1.8900000000000000e-02,741399,830000,3309461,,1
"TORRINGTON","City of Torrington Municipal Employees' Retirement Fund",769,0,0,1,0,0,1,0,0,1,"Public Works",1,258,0,,,,44621540,36102124,7.4999999999999997e-02,7.4999999999999997e-02,2.0600000000000000e-02,1756607,2130792,7508384,"2014-07-01 00:00:00",0
"TORRINGTON","City of Torrington Police And Firemen's Retirement Fund",770,0,0,0,0,0,0,1,1,0,,0,281,0,,,,84893312,53612316,7.4999999999999997e-02,7.4999999999999997e-02,2.2200000000000001e-02,3861898,3926071,10060356,"2014-07-01 00:00:00",0
"TRUMBULL","Town of Trumbull Police Benefit Retirement Plan",771,0,0,0,0,0,0,1,0,0,,0,122,0,,,,72754939,50718145,8.0000000000000002e-02,7.4400000000000008e-02,3.6299999999999999e-02,2907000,2050000,5995000,"2014-07-01 00:00:00",1
"TRUMBULL","Town of Trumbull Retirement Plan",772,0,0,0,0,0,1,0,0,1,,0,784,0,,,,90240021,28479193,7.4999999999999997e-02,5.6399999999999999e-02,2.7799999999999998e-02,4144000,4693000,18823000,"2014-07-01 00:00:00",1
"VERNON","Police Pension Plan",773,0,0,0,0,0,0,1,0,0,,0,102,0,,,,38524318,19600137,7.2499999999999995e-02,7.2499999999999995e-02,5.9000000000000004e-02,1515199,1515199,4747257,"2015-01-01 00:00:00",1
"VERNON","Town Pension Plan",774,0,0,0,0,0,1,0,0,1,,1,739,0,,,,65646673,37964058,7.2499999999999995e-02,7.2499999999999995e-02,7.0000000000000007e-02,2135571,2135571,14789154,"2015-01-01 00:00:00",1
"VERNON","Volunteer Fire Dept. Retirement Plan",775,0,1,0,0,0,0,0,1,0,,0,182,0,,,,1333889,1508812,6.5000000000000002e-02,6.5000000000000002e-02,2.4799999999999999e-02,37752,37752,,"2015-01-01 00:00:00",1
"WALLINGFORD","Town of Wallingford Consolidated Pension Plan",776,0,0,0,0,1,0,0,0,0,,0,1178,0,,,,227555000,174073000,7.5999999999999998e-02,7.5999999999999998e-02,3.3000000000000002e-02,8192000,8192000,39273000,"2013-07-01 00:00:00",1
"WALLINGFORD","Town of Wallingford Volunteer Firefighters Plan",777,0,1,0,0,0,0,0,1,0,,0,163,0,,,,1357000,1291000,7.5999999999999998e-02,7.5999999999999998e-02,1.0619999999999999e-01,42000,42000,,"2013-07-01 00:00:00",1
"WATERBURY","City of Waterbury Retirement Fund",778,0,0,0,0,1,0,0,0,0,,0,4034,0,,,"***",604515000,415563000,8.1999999999999990e-02,8.1999999999999990e-02,2.0600000000000000e-02,16649000,16649000,76246000,"2014-07-01 00:00:00",1
"WATERFORD","Town of Waterford Pension Trust Fund Plan",779,0,0,1,0,1,0,0,0,0,,0,19,0,"Money-weighted ROR--2.57% per p. 65.  The 11.89% ROR is for FY 2014, per. P. 65 of FY 15 audit, and p. 45 of FY 14 audit.",,,1213597,639471,7.2499999999999995e-02,7.2499999999999995e-02,2.5699999999999997e-02,83367,83367,,"2013-07-01 00:00:00",1
"WEST HARTFORD","Town of West Hartford Pension Fund",780,0,0,0,0,1,0,0,0,0,,0,1981,0,,,,375665000,182086000,7.5399999999999995e-02,7.5399999999999995e-02,4.6900000000000004e-02,17712000,17712000,53742000,"2013-07-01 00:00:00",1
"WESTBROOK","Westbrook Retirement Plan",781,0,0,0,0,1,0,0,0,0,,0,128,0,,,,8528194,7931327,7.0000000000000007e-02,7.0000000000000007e-02,1.4199999999999999e-02,390843,390843,3330884,"2013-07-01 00:00:00",1
"WESTBROOK","Westbrook Volunteer Firefighters' Pension Fund",782,0,1,0,0,0,0,0,1,0,,0,76,0,,,,1686380,1074294,7.0000000000000007e-02,7.0000000000000007e-02,1.4300000000000000e-02,134759,134759,,"2013-07-01 00:00:00",1
"WESTBROOK","Constables Retirement Plan",783,0,0,0,0,0,0,1,0,0,,0,9,0,,,,248307,79126,7.0000000000000007e-02,7.0000000000000007e-02,1.5100000000000001e-02,23547,23547,,"2013-07-01 00:00:00",1
"WESTPORT","Town of Westport - Police Pension Plan",784,0,0,0,0,0,0,1,0,0,,0,141,0,,,,97163380,83737936,6.1249999999999999e-02,6.1249999999999999e-02,3.3300000000000003e-02,2841811,2918811,5367727,"2014-07-01 00:00:00",1
"WESTPORT","Town of Westport Fire Pension Fund",785,0,0,0,0,0,0,0,1,0,,0,123,0,,,,76318548,68193868,6.1249999999999999e-02,6.1249999999999999e-02,3.3399999999999999e-02,2407768,2407768,5184152,"2014-07-01 00:00:00",1
"WESTPORT","Town of Westport Public Works Pension Plan",786,0,0,1,0,0,0,0,0,0,"Public Works",1,58,0,,,,17040717,17873636,6.1249999999999999e-02,6.1249999999999999e-02,3.2700000000000000e-02,446200,405720,1770145,"2014-07-01 00:00:00",1
"WESTPORT","Town of Westport Municipal Interim Pension Fund",787,0,0,0,0,0,1,0,0,1,"Library",1,577,0,,,,63406152,65494627,6.1249999999999999e-02,6.1249999999999999e-02,3.3000000000000002e-02,2262664,2241723,16035051,"2014-07-01 00:00:00",1
"WESTPORT","Town of Westport - Non Union Pension Plan",788,0,0,0,0,0,0,0,0,0,"Non-union",1,164,0,,,,39299647,33520007,6.1249999999999999e-02,6.1249999999999999e-02,3.3799999999999997e-02,1470807,1556428,6818264,"2014-07-01 00:00:00",1
"WETHERSFIELD","Town of Wethersfield Pension Plan",789,0,0,1,0,1,0,0,0,0,,0,584,0,,,,99443631,84872246,7.4499999999999997e-02,7.4499999999999997e-02,2.4600000000000000e-02,2406123,2407468,17725333,"2014-07-01 00:00:00",1
"WILLINGTON","Town of Willington Pension Fund",790,0,0,0,0,1,0,0,0,0,,0,3,0,,,,619100,481544,7.0000000000000007e-02,7.0000000000000007e-02,2.6699999999999998e-02,25273,36429,190195,"2015-06-30 00:00:00",0
"WINDHAM","Town of Windham Retirement Income Plan-Fire",791,0,0,0,0,0,0,0,1,0,,0,57,0,,,,12992806,9948098,7.4999999999999997e-02,7.4999999999999997e-02,1.0000000000000000e-04,680426,450000,1884070,"2013-07-01 00:00:00",1
"WINDHAM","Town of Windham Retirement Income Plan-Police",792,0,0,0,0,0,0,1,0,0,,0,72,0,,,,18342115,17494805,7.4999999999999997e-02,7.4999999999999997e-02,1.0000000000000000e-04,753269,753269,2764927,"2013-07-01 00:00:00",1
"WINDHAM","Town of Windham Retirement Income Plan-Municipal",793,0,0,0,0,0,1,0,0,0,,0,173,0,,,,14087663,13146595,7.4999999999999997e-02,7.4999999999999997e-02,5.1799999999999999e-02,518719,518719,5729056,"2014-01-01 00:00:00",1
"WINDHAM","Town of Windham Retirement Income Plan-Board of Education",794,0,0,0,0,0,0,0,0,1,,0,238,0,,,,9376003,8551072,6.2500000000000000e-02,6.2500000000000000e-02,2.4799999999999999e-02,406309,406309,3797294,"2013-07-01 00:00:00",1
"WINDSOR","Town of Windsor Connecticut Retirement Plan",795,0,0,1,0,0,1,0,0,1,,1,533,0,,,,72603024,64485105,7.4999999999999997e-02,7.4999999999999997e-02,1.4499999999999999e-02,998378,998378,15744000,"2013-07-01 00:00:00",1
"WOLCOTT","Town of Wolcott Town and Police Plan",796,0,0,0,0,0,1,1,0,0,,0,162,0,,,,26835610,17792617,8.0000000000000002e-02,8.0000000000000002e-02,7.1800000000000003e-02,1058150,1058150,5635836,"2015-01-01 00:00:00",1
