Municipality,Mill Rate FY 2017-18,Mill Rate - Real & Personal Property - FY 2017-18,Mill Rate - Motor Vehicle - FY 2017-18,Comments,MFS Unit Comments
"HARTFORD",,7.4290000000000006e+01,3.2000000000000000e+01,"Penalty Waiver Req.",
"HARTLAND",2.6500000000000000e+01,,,,
"HARWINTON",2.8800000000000001e+01,,,"Penalty Waiver Req.",
"HEBRON",3.7000000000000000e+01,,,,
"KENT",1.8609999999999999e+01,,,,
"KILLINGLY",2.7309999999999999e+01,,,,
"KILLINGWORTH",2.7469999999999999e+01,,,,
"LEBANON",2.8899999999999999e+01,,,"28.9 is temporary Mill rate.  Amended M1 will be submitted once mill rate finalized.",
"LEDYARD",3.2539999999999999e+01,,,,
"LISBON",2.2500000000000000e+01,,,,
"LITCHFIELD",2.7600000000000001e+01,,,,
"LYME",1.8250000000000000e+01,,,,
"MADISON",2.7300000000000001e+01,,,,
"MANCHESTER",,3.4850000000000001e+01,3.2000000000000000e+01,"MV rate On Hold until State Budget is adopted - Will submit revised M-1 in October 2017","Real/Personal Prop. And MV Rate input based upon budget database form"
"MANSFIELD",3.0629999999999999e+01,,,,
"MARLBOROUGH",,3.5460000000000001e+01,3.2000000000000000e+01,"Penalty Waiver Req.",
"MERIDEN",,3.9920000000000002e+01,3.7000000000000000e+01,,
"MIDDLEBURY",3.1489999999999998e+01,,,,
"MIDDLEFIELD",,3.6609999999999999e+01,3.2000000000000000e+01,,
"MIDDLETOWN",,3.3899999999999999e+01,3.3899999999999999e+01,"On Hold until State Budget is adopted - Will submit revised M-1.",
"MILFORD",2.7789999999999999e+01,,,,
"MONROE",,3.5759999999999998e+01,3.2000000000000000e+01,,
"MONTVILLE",3.1699999999999999e+01,,,,
"MORRIS",,,,"Penalty Waiver Granted due to State Budget delay",
"NAUGATUCK",,4.8549999999999997e+01,3.7000000000000000e+01,,
"NEW BRITAIN",,5.0500000000000000e+01,3.7000000000000000e+01,"MV Rate is Temporary Mill Rate. Collecting for only first installment.  Amended M-1 will be submitted when final mill rate set.",
"NEW CANAAN",1.6669000000000000e+01,,,,
"NEW FAIRFIELD",2.9820000000000000e+01,,,,
"NEW HARTFORD",,,,"Penalty Waiver Granted due to State Budget delay",
"NEW HAVEN",,3.8680000000000000e+01,3.2000000000000000e+01,,
"NEW LONDON",,4.4259999999999998e+01,3.7000000000000000e+01,,
"NEW MILFORD",2.7250000000000000e+01,,,,
"NEWINGTON",,3.6590000000000003e+01,3.2000000000000000e+01,"Penalty Waiver Req.",
"NEWTOWN",,3.3869999999999997e+01,3.2000000000000000e+01,,
"NORFOLK",2.2449999999999999e+01,,,,
"NORTH BRANFORD",,3.3509999999999998e+01,3.2000000000000000e+01,,
"NORTH CANAAN",2.7500000000000000e+01,,,,
"NORTH HAVEN",3.0530000000000001e+01,,,,
"NORTH STONINGTON",2.7000000000000000e+01,,,"Temporary Mill Rate. Collecting for only first installment.  Amended M-1 will be submitted when final mill rate set.",
"NORWALK",,2.5260999999999999e+01,2.9340000000000000e+01,,"See Bob Burbank methodology and 2017-18 adopted budget/database form submitted by the City"
"NORWICH",,4.0520000000000003e+01,3.9000000000000000e+01,"MV mill rate on Hold until State Budget is adopted - Will submit revised M-1.","MV mill rate entered based upon FY 2017-18 budget database form provided to MFS Unit by the Town"
"OLD LYME",2.1750000000000000e+01,,,,
"OLD SAYBROOK",1.9660000000000000e+01,,,,
"ORANGE",3.3280000000000001e+01,,,,
"OXFORD",2.2210000000000001e+01,,,,
"PLAINFIELD",2.9920000000000002e+01,,,,
"PLAINVILLE",3.2680000000000000e+01,,,,
"PLYMOUTH",,3.9689999999999998e+01,3.2000000000000000e+01,,
"POMFRET",,2.5859999999999999e+01,2.7930000000000000e+01,"Penalty Waiver Req.",
"PORTLAND",,3.2979999999999997e+01,3.2000000000000000e+01,,
"PRESTON",2.4000000000000000e+01,,,,
"PROSPECT",3.1250000000000000e+01,,,,
"PUTNAM",2.0000000000000000e+01,,,,
"REDDING",2.9620000000000001e+01,,,,
"RIDGEFIELD",2.7210000000000001e+01,,,,
"ROCKY HILL",3.1600000000000001e+01,,,,
"ROXBURY",1.4199999999999999e+01,,,,
"SALEM",3.2200000000000003e+01,,,,
"SALISBURY",1.1100000000000000e+01,,,,
"SCOTLAND",,3.8680000000000000e+01,3.2000000000000000e+01,,
"SEYMOUR",3.6000000000000000e+01,,,,
"SHARON",1.4699999999999999e+01,,,,
"SHELTON",2.2210000000000001e+01,,,,
"SHERMAN",2.0329999999999998e+01,,,,
"SIMSBURY",,3.8759999999999998e+01,3.1000000000000000e+01,,
"SOMERS",2.5469999999999999e+01,,,,
"SOUTH WINDSOR",,3.8079999999999998e+01,3.7000000000000000e+01,"On Hold until State Budget is adopted - Will submit revised M-1 when state budget adopted.","9/18/17 Council Minutes indicate approval to change MV mill rate from adopted 2017-18 rate of 32 to 37"
"SOUTHBURY",2.9300000000000001e+01,,,,
"SOUTHINGTON",3.0480000000000000e+01,,,,
"SPRAGUE",3.2000000000000000e+01,,,,
"STAFFORD",3.3930000000000000e+01,,,,
"STAMFORD",,2.6890000000000001e+01,2.7250000000000000e+01,,"Use mill rate for Stamford A for Real/Personal Prop MR as in past.  Stamford A represents the largest District"
"STERLING",3.1800000000000001e+01,,,,
"STONINGTON",2.2980000000000000e+01,,,,
"STRATFORD",,,,"Penalty Waiver Granted due to State Budget delay",
"SUFFIELD",2.8890000000000001e+01,,,,
"THOMASTON",3.5049999999999997e+01,,,"Penalty Waiver Req.",
"THOMPSON",2.7000000000000000e+01,,,"Penalty Waiver Granted due to State Budget delay",
"TOLLAND",3.4479999999999997e+01,,,"Penalty Waiver Granted due to State Budget delay","Town adopted its 2017-18 budget in Nov 2017 and submitted budget data to MFS Unit."
"TORRINGTON",,4.5750000000000000e+01,3.9000000000000000e+01,"MV Mill rate TBD",
"TRUMBULL",,3.3390000000000001e+01,3.2000000000000000e+01,,
"UNION",3.0840000000000000e+01,,,,
"VERNON",3.8710000000000001e+01,,3.7000000000000000e+01,"Penalty Waiver Req.",
"VOLUNTOWN",2.8059999999999999e+01,,,"This is a temporary Mill Rate - MV Bills will not be issued until state budget adoption and final Mill rate set. Levy is for ist payment only.",
"WALLINGFORD",2.8550000000000001e+01,,,,
"WARREN",1.4500000000000000e+01,,,,
"WASHINGTON",1.4250000000000000e+01,,,,
"WATERBURY",,6.0210000000000001e+01,3.7000000000000000e+01,,
