Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,ADEC-GASB75,emplyr contrib made GASB75,GASB75 ValDate,GASB75 TOPEBL,GASB75 NetPosition,Investment Rate of Return GASB75,Discount Rate GASB75,Money Weight of Return GASB75,Entry Age Method GASB75,Covered Payroll GASB75,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB,Comments,Closed,Alternative Method,CurYr HealthCare TrendRate,Projected Healthcare TrendRate
16,"EAST HARTFORD",0,"Town of East Hartford OPEB Plan",0,1,0,0,0,0,0,,0,1812,0,14086000,3036000,"2017-07-01 00:00:00",117888000,9679000,3.8699999999999998e-02,3.8699999999999998e-02,1.0960000000000000e-01,1,82623000,,1,1,1,0,,,0,0,7.0000000000000007e-02,3.5999999999999997e-02
17,"EASTFORD",0,"Eastford Public Schools OPEB Program",0,0,0,0,0,1,0,,0,20,1,,,"2017-07-01 00:00:00",104402,0,,3.8699999999999998e-02,,1,1253200,,0,1,0,0,,,0,0,7.7499999999999999e-02,4.4999999999999998e-02
18,"EASTON",0,"Town of Easton OPEB Plan",0,1,0,0,0,0,0,,0,189,1,,,"2016-07-01 00:00:00",2450991,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,11550807,,0,1,1,0,,,0,0,7.4999999999999997e-02,4.4999999999999998e-02
19,"HAMPTON",0,"Hampton Public Schools OPEB Program",0,0,0,0,0,1,1,,0,15,0,,,"2017-07-01 00:00:00",369538,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,,0,0,,
20,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Town",0,0,1,0,0,0,0,,0,469,0,4703000,4700000,"2016-07-01 00:00:00",67924000,21526000,7.0000000000000007e-02,7.0000000000000007e-02,4.3099999999999999e-02,1,20176000,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
21,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Police & Fire",0,0,0,1,1,0,0,,0,376,0,4847000,4850000,"2016-07-01 00:00:00",75781000,20998000,7.0000000000000007e-02,7.0000000000000007e-02,8.9200000000000002e-02,1,17539000,,1,1,1,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
22,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Board of Education",0,0,0,0,0,1,1,,0,1427,1,,,"2016-07-01 00:00:00",16770000,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
23,"LEBANON",0,"Lebanon Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,142,1,,,"2016-07-01 00:00:00",3162866,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,,0,0,6.5000000000000002e-02,4.5999999999999999e-02
24,"LISBON",0,"Lisbon Public Schools OPEB Program",0,0,0,0,0,1,0,,0,42,1,,,"2017-07-01 00:00:00",1542606,0,,3.8699999999999998e-02,,1,2985731,,0,1,0,0,,"Health Care Cost Trend Range from: 7.5% to 4.6%",0,0,,
25,"GUILFORD",0,"Town of Guilford Retiree Benefit Program",0,1,0,0,0,0,0,,0,586,1,,,"2016-07-01 00:00:00",28222100,0,,3.5799999999999998e-02,,0,,,0,1,1,0,,,0,0,1.2100000000000000e-01,4.2000000000000003e-02
26,"MADISON",0,"Town of Madison OPEB Plan",0,1,0,0,0,0,0,,0,499,1,,,"2017-07-01 00:00:00",19634018,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,5.5000000000000000e-02,4.5999999999999999e-02
27,"MANCHESTER",0,"Town of Manchester - OPEB Plan",0,1,0,0,0,0,0,,0,2692,0,24771000,8313000,"2016-07-01 00:00:00",274775000,1030000,3.8699999999999998e-02,3.8699999999999998e-02,7.9600000000000004e-02,1,95663000,,1,1,1,0,,,0,0,5.5000000000000000e-02,4.5999999999999999e-02
28,"HEBRON",0,"Town of Hebron OPEB Plan",0,1,0,0,0,0,0,,0,128,1,,,"2017-07-01 00:00:00",1375533,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,6.5000000000000002e-02,4.5999999999999999e-02
29,"FRANKLIN",0,"Franklin Bd. of Education OPEB Plan",0,0,0,0,0,1,0,,0,22,1,,,"2018-06-30 00:00:00",437290,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,1307985,,0,1,0,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
30,"KILLINGWORTH",0,"Killingworth OPEB Plan",0,1,0,0,0,0,0,,0,6,1,,,"2018-06-30 00:00:00",127252,0,,3.6200000000000003e-02,,0,304706,,0,1,0,0,,,0,0,2.9999999999999999e-02,2.9999999999999999e-02
247,"MIDDLETOWN",0,"The City of Middletown BOE Plan",0,0,0,0,0,1,0,,0,509,1,,,,29189000,0,,3.8699999999999998e-02,,0,39048000,,0,1,0,0,,,0,0,,
248,"BROOKLYN",0,"Brooklyn Public Schools OPEB Plan",0,0,0,0,0,1,0,,0,74,1,,,"2016-07-01 00:00:00",1692214,0,,3.8699999999999998e-02,,1,5687333,,0,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
249,"ELLINGTON",0,"Town of Ellington Retirement Healthcare Plan",0,1,0,0,0,0,0,,0,499,1,,,"2017-07-01 00:00:00",4468706,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,8.0000000000000002e-02,5.0000000000000003e-02
31,"HAMDEN",0,"Town of Hamden OPEB Plan",0,1,0,0,0,0,0,,0,2908,1,34444433,16050000,"2016-07-01 00:00:00",511771358,-2193319,3.1000000000000000e-02,3.8699999999999998e-02,5.5100000000000001e-03,1,,,1,1,1,0,,"Used healthcard cost trend rates for medical (non-Medicare).",0,0,6.5000000000000002e-02,5.0000000000000003e-02
113,"AVON",0,"Town of Avon OPEB Plan",0,1,0,0,0,0,0,,0,178,0,2548324,2130593,"2016-07-01 00:00:00",30944642,7086215,,7.0000000000000007e-02,2.4500000000000001e-02,1,5277848,,1,1,0,0,,"Do not see L/T Investment Rate of Return listed.",0,0,5.9000000000000004e-02,4.4000000000000004e-02
114,"AVON",0,"Avon Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,419,0,1111525,1389412,"2016-07-01 00:00:00",9903588,1940749,,7.0000000000000007e-02,4.7300000000000002e-02,1,29004929,,1,1,0,0,,"Do not see L/T Investment Rate of Return listed.",0,0,5.2000000000000005e-02,4.5999999999999999e-02
115,"BETHANY",0,"Bethany Public Schools OPEB Plan",0,0,0,0,0,1,0,,0,60,1,,,"2017-07-01 00:00:00",800192,0,,3.8699999999999998e-02,,0,3773197,,0,1,0,0,,"Date of Valuation--See actuarial assumptions, p. 54--Re:  7/1/17.  Discount Rate--3.87%--See middle of p. 55.  Healthcare cost trend rate--Used 4.60%, bottom of p. 55.",0,0,4.5999999999999999e-02,
116,"BETHEL",0,"Town of Bethel OPEB Plan-Town",0,1,0,0,0,0,0,,0,456,1,,,"2017-07-01 00:00:00",14276984,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,,,0,1,1,0,,"Per p. 68, E.1.A. Plan Administration--No assets are accumulated in a trust that meets the criteria in paragraph 4 of Statement 75.",0,0,7.0000000000000007e-02,4.4999999999999998e-02
117,"BLOOMFIELD",0,"Town of Bloomfield OPEB Plan",0,1,0,0,0,0,0,,0,769,0,9394587,3132615,"2016-07-01 00:00:00",93071172,8209636,7.0000000000000007e-02,7.0000000000000007e-02,9.8699999999999996e-02,1,39408526,,1,1,1,0,,,0,0,8.2500000000000004e-02,4.7500000000000001e-02
118,"BRISTOL",0,"Bristol Retiree Health Plan",0,1,0,0,0,0,0,,0,1886,0,6234993,5801097,"2016-07-01 00:00:00",66122204,9926387,7.2000000000000008e-02,7.2000000000000008e-02,4.3099999999999999e-02,1,98287369,,1,1,1,0,,,0,0,7.5100000000000000e-02,4.4999999999999998e-02
119,"BROOKFIELD",0,"Town of Brookfield OPEB Plan",0,1,0,0,0,0,0,,0,414,0,1963189,561610,"2016-07-01 00:00:00",20308218,936290,6.5000000000000002e-02,6.5000000000000002e-02,6.0700000000000004e-02,1,34116653,,1,1,0,0,,,1,0,8.7499999999999994e-02,4.7500000000000001e-02
120,"CANTERBURY",0,"Town of Canterbury OPEB Plan",0,1,0,0,0,0,0,,0,118,1,,81000,"2017-07-01 00:00:00",1153565,0,,2.9999999999999999e-02,,0,,,0,1,0,0,,,0,0,4.4999999999999998e-02,4.4999999999999998e-02
121,"CANTON",0,"Town of Canton OPEB Plan",0,0,0,0,0,1,1,,0,163,0,96990,103026,"2016-07-01 00:00:00",1360209,975454,,6.5000000000000002e-02,-3.7000000000000002e-03,1,10870565,,1,1,0,0,,"OPEB is a trust fund per p. 25 and p. 29, description of Pension Trust Funds.  Money-weighted ROR per p. 79.  RSI, Note 3, p. 87, references Entry Age Normal Method.  Could not find L/T Investment ROR.",0,0,8.0000000000000002e-02,5.0000000000000003e-02
122,"CHESHIRE",0,"Town of Cheshire OPEB Plan - Town",0,1,0,0,0,0,0,,0,653,0,1150067,733522,"2017-07-01 00:00:00",18666670,625781,4.0000000000000001e-02,3.8699999999999998e-02,6.6500000000000004e-02,1,44717022,,1,1,1,0,,,0,0,5.7000000000000002e-02,4.7000000000000000e-02
123,"CHESHIRE",0,"Town of Cheshire OPEB Plan - Police",0,0,0,1,0,0,0,,0,92,0,762064,505276,"2017-07-01 00:00:00",11382671,388352,5.4000000000000006e-02,3.8699999999999998e-02,5.2400000000000002e-02,1,4464671,,1,1,1,0,,,0,0,5.7000000000000002e-02,4.7000000000000000e-02
124,"CHESTER",0,"Town of Chester OPEB Program",0,1,0,0,0,0,0,,0,6,1,,,"2017-06-30 00:00:00",21119,0,,3.5600000000000000e-02,,0,,,0,1,1,0,,"The plans do not have assets accumulated in a trust per C.1.a.  Plan Administration, p.54.  Pay-as-you-go per C.1.c., top of p. 55.",0,0,6.8000000000000005e-02,4.4000000000000004e-02
125,"CHESTER",0,"Chester Public Schools OPEB Program",0,0,0,0,0,1,0,,0,34,1,,,"2016-06-30 00:00:00",139744,0,,3.5600000000000000e-02,,0,,,0,1,1,0,,,0,0,6.8000000000000005e-02,4.4000000000000004e-02
126,"COLCHESTER",0,"Town of Colchester OPEB Plan",0,1,0,0,0,0,0,,0,361,1,,,"2017-07-01 00:00:00",6259762,0,,3.8699999999999998e-02,,1,21277152,,0,1,1,0,,,0,0,5.7999999999999996e-02,4.7000000000000000e-02
127,"COVENTRY",0,"Town of Coventry OPEB Plan",0,1,0,0,0,0,0,,0,409,1,,,"2018-06-30 00:00:00",8728588,0,,3.8699999999999998e-02,,0,20377472,,0,1,1,0,,"Town has not established a trust fund per Note 10, B. Funding Policy, p. 50.  Date of Valuation==Under Total OPEB Liability, middle of p. 51.",0,0,5.4000000000000006e-02,4.4000000000000004e-02
128,"CROMWELL",0,"Town of Cromwell OPEB Plan",0,1,0,0,0,0,0,,0,433,0,656000,556379,"2017-07-01 00:00:00",4107994,1265488,7.0000000000000007e-02,7.0000000000000007e-02,7.2099999999999997e-02,1,23607672,,1,1,1,0,,,0,0,7.4999999999999997e-02,4.7500000000000001e-02
129,"DANBURY",0,"City of Danbury Post Employment Retirement Plan",0,1,0,0,0,0,0,,0,2041,0,18715000,11468280,"2016-07-01 00:00:00",235770420,6039310,5.9200000000000003e-02,5.9200000000000003e-02,1.1800000000000000e-02,1,152938538,,1,1,1,0,,"Note:  Used General Gov't number for discount rate and money-weighted ROR.  This is because the numbers are different for GG & BOE.  Audit report, p. 96,says there is one OPEB plan.",0,0,7.0000000000000007e-02,4.5999999999999999e-02
130,"DARIEN",0,"Town OF Darien OPEB Plan - Police",0,0,0,1,0,0,0,,0,70,0,458670,458670,"2017-07-01 00:00:00",8062050,4217737,6.5000000000000002e-02,6.5000000000000002e-02,4.7800000000000002e-02,1,4930775,,1,1,0,0,,,1,0,7.0999999999999994e-02,4.4000000000000004e-02
131,"DARIEN",0,"Town of Darien OPEB Plan - Non-Police",0,1,0,0,0,0,0,,0,607,0,446816,446816,"2017-07-01 00:00:00",6327361,3484716,6.5000000000000002e-02,6.5000000000000002e-02,5.2600000000000001e-02,1,48644707,,1,1,0,0,,,0,0,7.2999999999999995e-02,4.4999999999999998e-02
132,"EAST GRANBY",0,"East Granby Retirees OPEB Plan",0,0,0,0,0,1,1,"administrators",1,119,1,,,"2016-07-01 00:00:00",2024173,0,,3.8699999999999998e-02,,1,,,0,1,1,0,,"Pay-as-you-go--Note 9, towards bottom of page on p. 41.  Assume noncertified Bd. Of Education employyes are covered because 1st bullet on bottom of p. 42 says ""and 10% of all others active members"" etc.",0,0,7.2999999999999995e-02,4.4000000000000004e-02
133,"EAST HAMPTON",0,"Town of East Hampton OPEB Plan-Board of Education",0,0,0,0,0,1,1,,0,184,1,,140508,"2017-07-01 00:00:00",3846921,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,"Employer contributions--Top of pg. 66.  There are no assets that are being accumulated in a trust fund that meets the criteria in GASB 75 per p. 86.",0,0,5.7000000000000002e-02,4.4999999999999998e-02
134,"EAST LYME",0,"Town of East Lyme OPEB Plan",0,1,0,0,0,0,0,,0,486,1,,,"2016-07-01 00:00:00",8509773,0,,3.8699999999999998e-02,,1,32503680,,0,1,1,0,,,0,0,7.4999999999999997e-02,4.5999999999999999e-02
135,"ENFIELD",0,"Town of Enfield OPEB Plan",0,1,0,0,0,0,0,,0,1169,0,,,"2015-07-01 00:00:00",39218377,5244774,,3.8699999999999998e-02,,1,74684458,,1,1,1,0,,,0,0,,
136,"ESSEX",0,"Town of Essex Employees' OPEB Plan",0,1,0,0,0,0,0,,0,99,1,,,"2016-07-01 00:00:00",1674131,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,,0,0,8.0000000000000002e-02,4.0000000000000001e-02
137,"FARMINGTON",0,"Town of Farmington Post-Retirement Medical Program (RMP)",0,1,0,0,0,0,0,,0,992,1,,,"2017-07-01 00:00:00",37868806,0,,3.8699999999999998e-02,,1,55406597,,0,1,0,0,,"The Town has not established a trust fund per Note 5, OPEB, Pt. A, p. 49.  Valuation Date--From p. 67.  Last year's Valuation date was 7/1/15.",0,0,6.7000000000000004e-02,4.4999999999999998e-02
138,"GLASTONBURY",0,"Town of Glastonbury OPEB Plan",0,1,0,0,0,0,0,,0,1029,0,1392913,1392915,"2017-07-01 00:00:00",20173604,4773072,6.6250000000000003e-02,6.6250000000000003e-02,6.0899999999999996e-02,1,68158459,,1,0,0,0,,,0,0,5.4800000000000001e-02,4.4999999999999998e-02
139,"GRANBY",0,"Town of Granby OPEB Plan - Town & Board of Education",0,1,0,0,0,0,0,,0,333,0,610945,518279,"2017-07-01 00:00:00",8493312,1838379,5.9999999999999998e-02,5.9999999999999998e-02,5.9500000000000004e-02,1,20207961,,1,1,0,0,,,0,0,7.0099999999999996e-02,5.4000000000000006e-02
140,"GREENWICH",0,"Retiree Medical and Life Plan ( RMLI Plan)",0,1,0,0,0,0,0,,0,2561,0,5430000,5430000,"2017-07-01 00:00:00",59143952,24952973,,6.7500000000000004e-02,7.0000000000000007e-02,1,191311358,,1,1,1,0,,"Health cost trend rates--p. 67--How are these translated to Current Yr. & Projected Rates?",0,0,,
141,"GRISWOLD",0,"Town of Griswold OPEB Plan",0,1,0,0,0,0,0,,0,365,1,,,"2016-06-30 00:00:00",2538213,0,,3.2500000000000001e-02,,1,18350120,,0,1,1,0,,"The OPEB plan does not have assets accumulated in a trust that meets the criteria in paragraph 4 of Stmt. 75 per p. 51, top.",0,0,5.0000000000000003e-02,
142,"GROTON",0,"Groton Retired Employees Healthcare Plan",0,1,0,0,0,0,0,,0,1015,0,3966559,3535030,"2017-07-01 00:00:00",59422195,18092403,7.4999999999999997e-02,7.4999999999999997e-02,5.4800000000000001e-02,1,51499012,,1,1,0,0,,,0,0,5.7699999999999994e-02,4.4000000000000004e-02
143,"GROTON (City)",0,"City of Groton OPEB Plan",0,1,0,0,0,0,0,,0,239,0,1362210,1265889,"2017-07-01 00:00:00",16304081,6117894,7.0000000000000007e-02,7.0000000000000007e-02,6.6299999999999998e-02,1,16246112,,1,1,1,0,,,0,0,7.5999999999999998e-02,4.5999999999999999e-02
144,"KILLINGLY",0,"Town of Killingly OPEB Plan",0,1,0,0,0,0,0,,0,318,0,519900,10000,"2017-07-01 00:00:00",7553034,705677,8.0799999999999997e-02,4.5700000000000005e-02,8.0799999999999997e-02,0,18470668,,1,1,1,0,,,0,0,7.0000000000000007e-02,4.5999999999999999e-02
145,"LEDYARD",0,"Town of Ledyard OPEB Plan",0,1,0,0,0,0,0,,0,225,1,,,"2017-07-01 00:00:00",11643293,0,,3.5799999999999998e-02,,0,,,0,1,0,0,,"P. 52, bottom, 11.A., Town OPEB Plan--The Town has not established a trust fund to irrevocably segregate assets to fund liability associated with the postemployment benefits.",0,0,7.0000000000000007e-02,4.4999999999999998e-02
146,"LITCHFIELD",0,"Town of Litchfield OPEB Plan - Teacher and Administrators",0,0,0,0,0,1,0,,0,122,0,173000,0,"2016-07-01 00:00:00",2437252,1372819,7.0000000000000007e-02,7.0000000000000007e-02,6.8900000000000003e-02,1,8451000,,1,1,0,0,,"Trust Fund shown on pgs. 84 & 85 of audit report.",0,0,7.7499999999999999e-02,4.7500000000000001e-02
147,"MANSFIELD",0,"Town of Mansfield Postemployment Healthcare Plan",0,1,0,0,0,0,0,,0,403,0,383586,187543,"2016-07-01 00:00:00",3419998,467596,6.7500000000000004e-02,6.7500000000000004e-02,3.2000000000000001e-02,1,21773964,,1,1,1,0,,"P. 57--Mentions life insurance.  Used Investment Ror on p. 55.  Equals discount rate.",0,0,7.7499999999999999e-02,4.7500000000000001e-02
148,"MERIDEN",0,"Meriden Postemployment Healthcare Plan",0,1,0,0,0,0,0,,0,1853,0,5424655,2556023,"2016-07-01 00:00:00",91507131,34506569,7.7499999999999999e-02,7.7499999999999999e-02,7.9800000000000010e-02,1,104971399,,1,1,0,0,,,0,0,8.2500000000000004e-02,4.7500000000000001e-02
149,"MIDDLEBURY",0,"Town of Middlebury OPEB Plan",0,1,0,0,0,0,0,,0,50,1,,381906,"2018-07-01 00:00:00",7171125,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,"P. 39-Note 10--Under funding policy--The Town has not established a trust fund to segregate assets to fund the liability.",0,0,7.0000000000000007e-02,4.4999999999999998e-02
150,"MIDDLETOWN",0,"The City of Middletown Plan",0,1,0,0,0,0,0,,0,988,0,16253000,10601000,"2016-07-01 00:00:00",307464000,14010000,4.0899999999999999e-02,4.0899999999999999e-02,6.7299999999999999e-02,1,40060000,,1,1,0,0,,,0,0,,
151,"MONROE",0,"Town of Monroe - Police OPEB Plan",0,0,0,1,0,0,0,,0,45,0,186574,223631,"2016-07-01 00:00:00",2376153,695238,,6.7500000000000004e-02,1.1599999999999999e-02,1,3377844,,1,1,0,0,,"Trust fund per p. 23, under Fiduciary Funds.",0,0,7.7499999999999999e-02,4.7500000000000001e-02
152,"MONROE",0,"Town of Monroe Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,501,1,,,"2016-07-01 00:00:00",10137039,0,,3.8699999999999998e-02,,1,33795006,,0,1,0,0,,,0,0,7.4999999999999997e-02,4.4999999999999998e-02
153,"NEW CANAAN",0,"Town of New Canaan OPEB Plan",0,1,0,0,0,0,0,,0,783,0,2035960,1575960,"2016-07-01 00:00:00",27914072,12666302,6.7500000000000004e-02,6.7500000000000004e-02,7.3599999999999999e-02,1,54352121,,1,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
154,"NEWTOWN",0,"Town of Newtown OPEB Plan",0,1,0,0,0,0,0,,0,528,0,865530,285531,"2016-07-01 00:00:00",9195376,2465606,6.7500000000000004e-02,6.7500000000000004e-02,7.2099999999999997e-02,1,38408893,,1,1,0,0,,"p. 90--Entry age normal",0,0,7.7499999999999999e-02,4.7500000000000001e-02
155,"NORTH BRANFORD",0,"Town of North Branford OPEB Plan",0,1,0,0,0,0,0,,0,341,0,589849,716492,"2017-07-01 00:00:00",8658782,3626298,7.0000000000000007e-02,7.0000000000000007e-02,6.4299999999999996e-02,1,20605322,,1,1,1,0,,"Used actuarial valuation date on P. 66 bottom.  This is more recent than date on p. 81.  L/T Inv. ROR P. 81, 7.00%.  This is same percentage as discount rate.",0,0,,
156,"NORTH STONINGTON",0,"Town of North Stonington OPEB Plan",0,0,0,0,0,1,0,,0,138,1,,,"2016-07-01 00:00:00",4213666,0,,3.1300000000000001e-02,,1,,,0,1,1,0,,,0,0,7.3499999999999996e-02,4.4999999999999998e-02
157,"NORWALK",0,"City of Norwalk OPEB Plan",0,1,0,0,0,0,0,,0,2832,0,21748000,17985137,"2017-07-01 00:00:00",164204993,86225253,6.5000000000000002e-02,6.5000000000000002e-02,8.4399999999999989e-02,1,151775000,,1,1,1,0,,,0,0,8.9999999999999997e-02,5.0000000000000003e-02
158,"NORWICH",0,"The City of Norwich, Retiree Health Plan",0,1,0,0,0,0,0,,0,1247,0,5542000,5548000,"2017-07-01 00:00:00",59094000,18349000,7.4999999999999997e-02,7.4999999999999997e-02,6.1900000000000004e-02,1,63623000,,1,1,1,0,,,0,0,7.2499999999999995e-02,4.7500000000000001e-02
159,"OLD SAYBROOK",0,"Town of Old Saybrook OPEB Plan",0,1,0,0,0,0,0,,0,341,1,,,"2016-07-01 00:00:00",11456353,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,5.2000000000000005e-02,4.4000000000000004e-02
160,"ORANGE",0,"Town of Orange OPEB Plan-Retirees",0,1,0,0,0,0,0,,0,319,1,,,"2016-06-30 00:00:00",35903394,0,,3.8699999999999998e-02,,0,14980990,,0,1,0,0,,,0,0,5.4400000000000004e-02,4.4000000000000004e-02
161,"PLAINFIELD",0,"Town of Plainfield OPEB Plan - Board of Education",0,0,0,0,0,1,0,,0,343,0,908368,381666,"2016-07-01 00:00:00",9206924,471599,7.0000000000000007e-02,7.0000000000000007e-02,6.0199999999999997e-02,1,18953011,,1,1,0,0,,,0,0,8.7499999999999994e-02,4.7500000000000001e-02
162,"PLAINVILLE",0,"Town of Plainville Healthcare Plan",0,1,0,0,0,0,0,,0,516,1,,,"2016-07-01 00:00:00",12590787,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
163,"PORTLAND",0,"Town of Portland OPEB Plan",0,1,0,0,0,0,0,,0,234,1,,,"2016-07-01 00:00:00",3599545,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,8.0000000000000002e-02,4.4999999999999998e-02
164,"PROSPECT",0,"Town of Prospect-OPEB",0,1,0,0,0,0,0,,0,,0,,,,,,,,,0,,,0,1,0,0,,"4/15/19--New standards not implemented.",0,0,,
165,"PUTNAM",0,"Town of Putnam Medical Benefit Plan",0,0,0,0,0,0,1,,0,124,1,,,"2017-07-01 00:00:00",3051292,0,,3.8699999999999998e-02,,0,,,0,1,0,0,,,0,0,7.7499999999999999e-02,4.7500000000000001e-02
166,"REDDING",0,"Town of Redding OPEB Plan",0,1,0,0,0,0,0,,0,211,1,,,"2016-07-01 00:00:00",3301268,0,3.8699999999999998e-02,3.8699999999999998e-02,,1,14686000,,0,1,1,0,,,0,0,8.0000000000000002e-02,4.5999999999999999e-02
167,"SOMERS",0,"Town of Somers OPEB Plan - Town and Board of Education",0,1,0,0,0,0,0,,0,228,0,284590,143229,"2016-07-01 00:00:00",3647700,25000,5.9999999999999998e-02,5.9999999999999998e-02,0.0000000000000000e+00,0,13194000,,1,1,0,0,,,0,0,8.0000000000000002e-02,4.5999999999999999e-02
