"Town","Gross Residential Grand List","Gross Commercial Grand List","Gross Industrial Grand List","Total Gross Grand List","Year"
"Easton","649698110.00","24190950.00","189860.00",765179585,"SFY 2001-2002"
"East Windsor","251624026.00","83750391.00","67467860.00",561332133,"SFY 2001-2002"
"Ellington","446246810.00","45842670.00","14726130.00",656389190,"SFY 2001-2002"
"Enfield","1068721940.00","195436800.00","170890670.00",1870356234,"SFY 2001-2002"
"Essex","448408360.00","73750980.00","26406180.00",659252810,"SFY 2001-2002"
"Fairfield","3455685800.00","426371940.00","48784960.00",4565405027,"SFY 2001-2002"
"Farmington","1176635840.00","359171050.00","64073670.00",2035079864,"SFY 2001-2002"
"Franklin","62115960.00","18067350.00","3728980.00",121367846,"SFY 2001-2002"
"Glastonbury","1452723120.00","231023560.00","20033020.00",2096708240,"SFY 2001-2002"
"Goshen","191090850.00","7571460.00","587110.00",227126075,"SFY 2001-2002"
"Granby","443478740.00","25771300.00","1747410.00",568992130,"SFY 2001-2002"
"Greenwich","8102282900.00","1098934680.00","20787740.00",10511613462,"SFY 2001-2002"
"Griswold","252005700.00","24664800.00","7195020.00",377842379,"SFY 2001-2002"
"Groton","874970710.00","198416316.00","445866702.00",2324366046,"SFY 2001-2002"
"Guilford","1172980397.00","91894734.00","16766530.00",1486130686,"SFY 2001-2002"
"Haddam","369143230.00","16339390.00","3331490.00",472072403,"SFY 2001-2002"
"Hamden","1706800924.00","299803521.00","46978670.00",2574444838,"SFY 2001-2002"
"Hampton","60461860.00","1932880.00","0.00",79717283,"SFY 2001-2002"
"Hartford","882726513.00","1233051795.00","75617790.00",3608099266,"SFY 2001-2002"
"Hartland","86657290.00","438490.00","0.00",118918010,"SFY 2001-2002"
"Harwinton","247420540.00","7228940.00","1275440.00",318391019,"SFY 2001-2002"
"Hebron","341953490.00","11647650.00","442520.00",426889401,"SFY 2001-2002"
"Kent","237805730.00","30068200.00","0.00",307363333,"SFY 2001-2002"
"Killingly","296482215.00","56740395.00","110646855.00",754660829,"SFY 2001-2002"
"Killingworth","300656204.00","8399410.00","407310.00",370739536,"SFY 2001-2002"
"Lebanon","248040830.00","7780230.00","1743730.00",329357147,"SFY 2001-2002"
"Ledyard","431172490.00","33057430.00","9556750.00",625415033,"SFY 2001-2002"
"Lisbon","122636260.00","21813570.00","303730.00",202850220,"SFY 2001-2002"
"Litchfield","441449818.00","63868489.00","7330942.00",621467938,"SFY 2001-2002"
"Lyme","233219250.00","2454600.00","0.00",275144675,"SFY 2001-2002"
"Madison","1212116730.00","73576400.00","2114300.00",1475310463,"SFY 2001-2002"
"Manchester","1395108610.00","714304800.00","172875200.00",2849811928,"SFY 2001-2002"
"Mansfield","393635960.00","36735410.00","1085700.00",541356533,"SFY 2001-2002"
"Marlborough","240836980.00","15162700.00","3584850.00",305960316,"SFY 2001-2002"
"Meriden","1145723090.00","299782210.00","76575120.00",2037757864,"SFY 2001-2002"
"Middlebury","343431807.00","31451674.00","43731644.00",520239757,"SFY 2001-2002"
"Middlefield","171255780.00","11756650.00","14867820.00",248842740,"SFY 2001-2002"
"Middletown","937214741.00","280921210.00","74628080.00",2103739126,"SFY 2001-2002"
"Milford","2323695931.00","497332500.00","130288970.00",3917447161,"SFY 2001-2002"
"Monroe","1072587390.00","72346640.00","19734300.00",1400991381,"SFY 2001-2002"
"Montville","450768240.00","51217280.00","34381600.00",815021184,"SFY 2001-2002"
"Morris","187477990.00","6057090.00","1316940.00",215272151,"SFY 2001-2002"
"Naugatuck","772110620.00","88204680.00","53131700.00",1183810720,"SFY 2001-2002"
"New Britain","858208760.00","174854100.00","53444520.00",1568788817,"SFY 2001-2002"
"New Canaan","2729514720.00","177019990.00","1948730.00",3191612570,"SFY 2001-2002"
"New Fairfield","952175470.00","20565125.00","2516780.00",1108088725,"SFY 2001-2002"
"New Hartford","229511730.00","18280850.00","12160260.00",386588510,"SFY 2001-2002"
"New Haven","1759884684.00","861476208.00","169654974.00",3938129114,"SFY 2001-2002"
"Newington","1018455550.00","233925840.00","87942590.00",1734359155,"SFY 2001-2002"
"New London","391302910.00","262565310.00","4023600.00",890613799,"SFY 2001-2002"
"New Milford","972340890.00","128544290.00","67722560.00",1575965730,"SFY 2001-2002"
"Newtown","1363667350.00","110513710.00","43817830.00",1819405611,"SFY 2001-2002"
"Norfolk","112413510.00","7710470.00","0.00",164014670,"SFY 2001-2002"
"North Branford","475893600.00","45328360.00","31909220.00",689575600,"SFY 2001-2002"
"North Canaan","89134800.00","21983940.00","18668430.00",211238210,"SFY 2001-2002"
"North Haven","1038021390.00","230077610.00","216076570.00",2026123082,"SFY 2001-2002"
"North Stonington","218274770.00","25686080.00","7393050.00",327045890,"SFY 2001-2002"
"Norwalk","4089588484.00","1072805829.00","167042121.00",6394835187,"SFY 2001-2002"
"Norwich","651280020.00","177919900.00","35379400.00",1169114115,"SFY 2001-2002"
"Old Lyme","732593239.00","36768841.00","3658400.00",879021731,"SFY 2001-2002"
"Old Saybrook","768136710.00","146215540.00","10177800.00",1103947387,"SFY 2001-2002"
"Orange","828196095.00","260821825.00","69031788.00",1342381728,"SFY 2001-2002"
"Oxford","523443500.00","17425530.00","22177985.00",662412110,"SFY 2001-2002"
"Plainfield","285828930.00","47387180.00","33703000.00",511619630,"SFY 2001-2002"
"Plainville","490318170.00","131471270.00","56428620.00",909201950,"SFY 2001-2002"
"Plymouth","322992240.00","22154290.00","17833130.00",467126216,"SFY 2001-2002"
"Pomfret","145427544.00","8585976.00","9512870.00",208538463,"SFY 2001-2002"
"Portland","315178940.00","37155450.00","19537470.00",462296293,"SFY 2001-2002"
"Preston","153630250.00","9543300.00","1205300.00",211643704,"SFY 2001-2002"
"Prospect","372685260.00","25794170.00","9450460.00",490822966,"SFY 2001-2002"
"Putnam","161920400.00","49613000.00","29732000.00",345326213,"SFY 2001-2002"
"Redding","827125290.00","33037150.00","5313360.00",969174171,"SFY 2001-2002"
"Ridgefield","2044615759.00","154399856.00","131023939.00",2696986313,"SFY 2001-2002"
"Rocky Hill","612512870.00","277016120.00","52766900.00",1187129040,"SFY 2001-2002"
"Roxbury","263481570.00","1792600.00","230300.00",293935265,"SFY 2001-2002"
"Salem","150218340.00","11519330.00","506730.00",200414160,"SFY 2001-2002"
"Salisbury","426129910.00","30498850.00","0.00",572339420,"SFY 2001-2002"
"Scotland","53895060.00","550790.00","885720.00",69539258,"SFY 2001-2002"
"Seymour","469512460.00","40649450.00","26896800.00",694637808,"SFY 2001-2002"
"Sharon","269699700.00","11790200.00","0.00",353125578,"SFY 2001-2002"
"Shelton","1511166050.00","307585970.00","111201010.00",2527289860,"SFY 2001-2002"
"Sherman","298072160.00","2414250.00","0.00",376930036,"SFY 2001-2002"
"Simsbury","1076214540.00","138640670.00","11234390.00",1498317534,"SFY 2001-2002"
"Somers","352035280.00","15670740.00","7555720.00",456158905,"SFY 2001-2002"
"Southbury","945581740.00","203474206.00","8035520.00",1478727168,"SFY 2001-2002"
"Southington","1438985286.00","177666293.00","76367924.00",2177954349,"SFY 2001-2002"
"South Windsor","930588840.00","95660570.00","135456425.00",1455298249,"SFY 2001-2002"
"Sprague","71333480.00","4853120.00","10682840.00",135688020,"SFY 2001-2002"
"Stafford","301370220.00","31490450.00","16204760.00",488255670,"SFY 2001-2002"
"Stamford","6054173710.00","2584840280.00","213312860.00",10921964161,"SFY 2001-2002"
"Sterling","72731497.00","2626480.00","6213570.00",128365024,"SFY 2001-2002"
"Stonington","794957020.00","178576250.00","34484310.00",1249620203,"SFY 2001-2002"
"Stratford","2097703785.00","273342970.00","236914340.00",3221036221,"SFY 2001-2002"
"Suffield","547625820.00","39311720.00","27769420.00",742045830,"SFY 2001-2002"
"Thomaston","222166176.00","26059365.00","23068710.00",390031053,"SFY 2001-2002"
"Thompson","244322900.00","14055000.00","6053900.00",373990926,"SFY 2001-2002"
"Tolland","589591660.00","26375030.00","15961530.00",756843261,"SFY 2001-2002"
"Torrington","839639030.00","190203210.00","66542730.00",1464425730,"SFY 2001-2002"
"Trumbull","2289892823.00","246339920.00","221045062.00",3335276722,"SFY 2001-2002"
"Union","32915960.00","1653580.00","158990.00",47536408,"SFY 2001-2002"
"Vernon","727050538.00","160028590.00","18943340.00",1222506749,"SFY 2001-2002"
"Voluntown","80496360.00","4288820.00","0.00",106809192,"SFY 2001-2002"
"Wallingford","1366537430.00","386789816.00","225202408.00",2597017383,"SFY 2001-2002"
"Warren","98838050.00","3953360.00","0.00",124231700,"SFY 2001-2002"
"Washington","437110460.00","23049440.00","0.00",591752550,"SFY 2001-2002"
"Waterbury","643151396.00","297888620.00","103693320.00",1785423001,"SFY 2001-2002"
"Waterford","709607970.00","211139290.00","29012550.00",3247719170,"SFY 2001-2002"
"Watertown","747904978.00","93472900.00","49916370.00",1215042988,"SFY 2001-2002"
"Westbrook","381371777.00","72164326.00","17203720.00",568207100,"SFY 2001-2002"
"West Hartford","2491869370.00","459014990.00","66959420.00",3616532770,"SFY 2001-2002"
"West Haven","1122726780.00","168324170.00","121934120.00",1850096158,"SFY 2001-2002"
"Weston","1532354410.00","14124390.00","0.00",1716570511,"SFY 2001-2002"
"Westport","4474623200.00","841833500.00","0.00",5760920486,"SFY 2001-2002"
"Wethersfield","1040239000.00","143184200.00","15569600.00",1455453670,"SFY 2001-2002"
"Willington","150776200.00","32168770.00","3851390.00",281529240,"SFY 2001-2002"
"Wilton","1655577000.00","198763920.00","0.00",2187292550,"SFY 2001-2002"
"Winchester","280474713.00","34917643.00","15886370.00",455091786,"SFY 2001-2002"
"Windham","317118110.00","82441190.00","22753310.00",589698820,"SFY 2001-2002"
"Windsor","915276460.00","200378710.00","182331940.00",1760570670,"SFY 2001-2002"
"Windsor Locks","349182071.00","111052703.00","109031700.00",947915140,"SFY 2001-2002"
"Wolcott","508215690.00","37818130.00","22322710.00",724748952,"SFY 2001-2002"
"Woodbridge","685400200.00","48106170.00","9034650.00",845449370,"SFY 2001-2002"
"Woodbury","511449300.00","51710860.00","9457050.00",683787860,"SFY 2001-2002"
"Woodstock","305609509.00","11653730.00","10728880.00",404935146,"SFY 2001-2002"
"Andover","128955150.00","2522400.00","773600.00",162835688,"SFY 2002-2003"
"Ansonia","428601186.00","46641795.00","15556938.00",628285322,"SFY 2002-2003"
"Ashford","132226840.00","5875720.00","75250.00",175847320,"SFY 2002-2003"
"Avon","1161140150.00","196313520.00","26388360.00",1629635560,"SFY 2002-2003"
"Barkhamsted","143490740.00","14366240.00","670430.00",217786221,"SFY 2002-2003"
"Beacon Falls","211626650.00","7040570.00","21208080.00",299076875,"SFY 2002-2003"
"Berlin","738370620.00","8303820.00","139885800.00",1285036106,"SFY 2002-2003"
"Bethany","273928710.00","15465790.00","7201740.00",350060093,"SFY 2002-2003"
"Bethel","733421470.00","69878800.00","119259913.00",1168048973,"SFY 2002-2003"
"Bethlehem","187239070.00","7296150.00","2609730.00",232975742,"SFY 2002-2003"
"Bloomfield","638677533.00","78349820.00","105718640.00",1168020062,"SFY 2002-2003"
"Bolton","210902920.00","12373770.00","5341410.00",272567640,"SFY 2002-2003"
"Bozrah","76917207.00","13606553.00","7863360.00",148550702,"SFY 2002-2003"
"Branford","1374786350.00","281018380.00","73580690.00",2073521619,"SFY 2002-2003"
"Bridgeport","1976213981.00","546015425.00","165661798.00",3761823506,"SFY 2002-2003"
"Bridgewater","177464390.00","3358130.00","0.00",201657131,"SFY 2002-2003"
"Bristol","1397166930.00","219771900.00","167258520.00",2497532520,"SFY 2002-2003"
"Brookfield","1200319790.00","163134110.00","87392460.00",1700228037,"SFY 2002-2003"
"Brooklyn","213045550.00","20654030.00","2885650.00",310863595,"SFY 2002-2003"
"Burlington","410862620.00","8004150.00","2023770.00",521758901,"SFY 2002-2003"
"Canaan","51373980.00","3626100.00","657100.00",89878610,"SFY 2002-2003"
"Canterbury","153566340.00","6465100.00","1632300.00",208485909,"SFY 2002-2003"
"Canton","420197980.00","54314580.00","3223210.00",572553311,"SFY 2002-2003"
"Chaplin","57467000.00","5981250.00","98000.00",85223985,"SFY 2002-2003"
"Cheshire","1242269720.00","120935000.00","134974410.00",1835312024,"SFY 2002-2003"
"Chester","185200650.00","36864400.00","11160600.00",290921905,"SFY 2002-2003"
"Clinton","638398319.00","101612053.00","24470900.00",919291315,"SFY 2002-2003"
"Colchester","543540730.00","59753470.00","8180600.00",764813012,"SFY 2002-2003"
"Colebrook","80880100.00","841800.00","0.00",104959612,"SFY 2002-2003"
"Columbia","246450730.00","13248300.00","3604300.00",318142850,"SFY 2002-2003"
"Cornwall","156881090.00","6168900.00","0.00",214378720,"SFY 2002-2003"
"Coventry","476489950.00","14872900.00","1704570.00",582329875,"SFY 2002-2003"
"Cromwell","458812400.00","123824620.00","24970450.00",754876612,"SFY 2002-2003"
"Danbury","2442699500.00","1067816400.00","267362000.00",4661646250,"SFY 2002-2003"
"Darien","3543949349.00","336381370.00","0.00",4215313068,"SFY 2002-2003"
"Deep River","268005780.00","20621160.00","8761900.00",355989945,"SFY 2002-2003"
"Derby","344446900.00","66868158.00","9827240.00",536265295,"SFY 2002-2003"
"Durham","348734431.00","17540040.00","12515700.00",458240850,"SFY 2002-2003"
"Eastford","49190850.00","2984310.00","1399930.00",73188663,"SFY 2002-2003"
"East Granby","199182000.00","18139900.00","54821400.00",377905228,"SFY 2002-2003"
"East Haddam","357742730.00","25324240.00","3768210.00",471767693,"SFY 2002-2003"
"East Hampton","495894310.00","29925460.00","8657200.00",645025650,"SFY 2002-2003"
"East Hartford","1229050190.00","349133087.00","97036140.00",2383268796,"SFY 2002-2003"
"East Haven","855410210.00","147332520.00","30318270.00",1239801380,"SFY 2002-2003"
"East Lyme","1024475244.00","82602582.00","9723910.00",1285088153,"SFY 2002-2003"
"Easton","662934390.00","23994050.00","594610.00",779132481,"SFY 2002-2003"
"East Windsor","258308117.00","89963561.00","67507490.00",577664888,"SFY 2002-2003"
"Ellington","470394000.00","46681380.00","15114780.00",682161376,"SFY 2002-2003"
"Enfield","1175888090.00","297945640.00","117053640.00",2030728156,"SFY 2002-2003"
"Essex","459401970.00","74730550.00","26625550.00",671811448,"SFY 2002-2003"
"Fairfield","5847997480.00","590018660.00","52787700.00",7193856779,"SFY 2002-2003"
"Farmington","1196329880.00","374158180.00","64073670.00",2082871730,"SFY 2002-2003"
"Franklin","63888760.00","20476540.00","1388020.00",124698456,"SFY 2002-2003"
"Glastonbury","1488472400.00","246266690.00","19995710.00",2152352070,"SFY 2002-2003"
"Goshen","198317360.00","7571460.00","587110.00",236026325,"SFY 2002-2003"
"Granby","456108670.00","28197820.00","1747410.00",586261780,"SFY 2002-2003"
"Greenwich","16036230529.00","2654800330.00","61365150.00",20614247636,"SFY 2002-2003"
"Griswold","315678603.00","26466787.00","7050610.00",445864163,"SFY 2002-2003"
"Groton","1273315970.00","245852326.00","442234430.00",2841219103,"SFY 2002-2003"
"Guilford","1188812210.00","92929654.00","16989440.00",1511445706,"SFY 2002-2003"
"Haddam","409145480.00","17863890.00","4322790.00",548161350,"SFY 2002-2003"
"Hamden","1733566244.00","287142830.00","48167840.00",2602345238,"SFY 2002-2003"
"Hampton","61321560.00","1429680.00","244230.00",80558396,"SFY 2002-2003"
"Hartford","884714136.00","1238498102.00","74678891.00",3582480023,"SFY 2002-2003"
"Hartland","90108790.00","438490.00","0.00",120669970,"SFY 2002-2003"
"Harwinton","252324790.00","7214990.00","1275440.00",323579153,"SFY 2002-2003"
"Hebron","444385670.00","15341480.00","766050.00",546470087,"SFY 2002-2003"
"Kent","242737230.00","31119600.00","0.00",315528154,"SFY 2002-2003"
"Killingly","302039885.00","58190275.00","155178225.00",974626727,"SFY 2002-2003"
"Killingworth","462780040.00","11367510.00","981460.00",541070721,"SFY 2002-2003"
"Lebanon","254876380.00","8070280.00","2372120.00",337898741,"SFY 2002-2003"
"Ledyard","577087867.00","35949958.00","9040570.00",789990997,"SFY 2002-2003"
"Lisbon","146199910.00","40247530.00","1953200.00",257121610,"SFY 2002-2003"
"Litchfield","449782675.00","64929122.00","7430522.00",631435984,"SFY 2002-2003"
"Lyme","238918850.00","2223500.00","0.00",280245042,"SFY 2002-2003"
"Madison","1233865230.00","76554220.00","2114300.00",1500311495,"SFY 2002-2003"
"Manchester","1411674710.00","535467200.00","176302700.00",2891325840,"SFY 2002-2003"
"Mansfield","402086950.00","40864890.00","1085700.00",559697801,"SFY 2002-2003"
"Marlborough","322267720.00","16612090.00","3451570.00",392927355,"SFY 2002-2003"
"Meriden","1341940930.00","524781550.00","52175340.00",2419864772,"SFY 2002-2003"
"Middlebury","446518260.00","84048850.00","4804680.00",653299084,"SFY 2002-2003"
"Middlefield","219966000.00","14695360.00","11090600.00",302957740,"SFY 2002-2003"
"Middletown","960364438.00","279064300.00","76192190.00",2110574933,"SFY 2002-2003"
"Milford","2367486941.00","501356870.00","129915100.00",4007778585,"SFY 2002-2003"
"Monroe","1087818180.00","73266920.00","21227920.00",1427389335,"SFY 2002-2003"
"Montville","556781630.00","68882070.00","25582860.00",981394086,"SFY 2002-2003"
"Morris","190359110.00","6396435.00","1316940.00",219027993,"SFY 2002-2003"
"Naugatuck","778311760.00","87576640.00","53275490.00",1198909660,"SFY 2002-2003"
"New Britain","858903270.00","177977960.00","53451080.00",1581821755,"SFY 2002-2003"
"New Canaan","4956821900.00","279412550.00","385560.00",5504515420,"SFY 2002-2003"
"New Fairfield","963101385.00","20162360.00","2516780.00",1119504980,"SFY 2002-2003"
"New Hartford","236862640.00","18407050.00","11446960.00",397984297,"SFY 2002-2003"
"New Haven","1795665020.00","817286370.00","246272670.00",4116596496,"SFY 2002-2003"
"Newington","1028144350.00","246692250.00","89337860.00",1784661813,"SFY 2002-2003"
"New London","394266080.00","309225510.00","4047470.00",959884615,"SFY 2002-2003"
"New Milford","1453826260.00","152620580.00","77659960.00",2116976154,"SFY 2002-2003"
"Newtown","1402209850.00","112539570.00","43646340.00",1859358263,"SFY 2002-2003"
"Norfolk","113416070.00","7748520.00","0.00",166313060,"SFY 2002-2003"
"North Branford","636898578.00","58494517.00","25120830.00",860358908,"SFY 2002-2003"
"North Canaan","89452870.00","22630570.00","19395380.00",215676590,"SFY 2002-2003"
"North Haven","1040505822.00","230359490.00","217167520.00",1997227114,"SFY 2002-2003"
"North Stonington","222151020.00","26901910.00","7315420.00",334020468,"SFY 2002-2003"
"Norwalk","4125598955.00","1142050829.00","162039450.00",6527896478,"SFY 2002-2003"
"Norwich","655876050.00","181107100.00","35382400.00",1174382497,"SFY 2002-2003"
"Old Lyme","738960239.00","37520841.00","5218300.00",891180370,"SFY 2002-2003"
"Old Saybrook","778660310.00","143876090.00","16516000.00",1123002406,"SFY 2002-2003"
"Orange","836474095.00","260727129.00","73378834.00",1364252144,"SFY 2002-2003"
"Oxford","523618520.00","20570110.00","19343190.00",693990281,"SFY 2002-2003"
"Plainfield","290834366.00","52052280.00","29133990.00",519826819,"SFY 2002-2003"
"Plainville","492436550.00","136910650.00","60272250.00",932421389,"SFY 2002-2003"
"Plymouth","363109750.00","22819850.00","19633015.00",530539227,"SFY 2002-2003"
"Pomfret","147494150.00","8160040.00","9420640.00",210958249,"SFY 2002-2003"
"Portland","352849000.00","43863640.00","11287490.00",512926740,"SFY 2002-2003"
"Preston","156497400.00","9922300.00","1205300.00",215620063,"SFY 2002-2003"
"Prospect","377120070.00","26098120.00","9455510.00",494795925,"SFY 2002-2003"
"Putnam","163868620.00","49740000.00","30395010.00",350505775,"SFY 2002-2003"
"Redding","847346510.00","34238960.00","5313360.00",995418419,"SFY 2002-2003"
"Ridgefield","2092784309.00","152231036.00","130583969.00",2759301519,"SFY 2002-2003"
"Rocky Hill","629504900.00","274073890.00","53311130.00",1214280600,"SFY 2002-2003"
"Roxbury","271834890.00","1792600.00","230300.00",303865760,"SFY 2002-2003"
"Salem","184139730.00","12139510.00","1129810.00",240334540,"SFY 2002-2003"
"Salisbury","438612280.00","30109040.00","0.00",583150550,"SFY 2002-2003"
"Scotland","54602380.00","550790.00","885720.00",70159512,"SFY 2002-2003"
"Seymour","643378120.00","54778420.00","33312510.00",911353460,"SFY 2002-2003"
"Sharon","279752400.00","11987800.00","0.00",364134200,"SFY 2002-2003"
"Shelton","2075293040.00","402659040.00","135559430.00",3209877420,"SFY 2002-2003"
"Sherman","308380827.00","2414250.00","0.00",386160006,"SFY 2002-2003"
"Simsbury","1085443510.00","137064930.00","11474620.00",1514173076,"SFY 2002-2003"
"Somers","360302540.00","15812360.00","7555720.00",472923183,"SFY 2002-2003"
"Southbury","962773140.00","210185806.00","7992090.00",1507343221,"SFY 2002-2003"
"Southington","1736950933.00","288114680.00","76963110.00",2603061613,"SFY 2002-2003"
"South Windsor","947359270.00","95950770.00","138704230.00",1493511549,"SFY 2002-2003"
"Sprague","71832370.00","4359280.00","10716930.00",143644730,"SFY 2002-2003"
"Stafford","306299710.00","31800600.00","16006830.00",498574971,"SFY 2002-2003"
"Stamford","6090922100.00","2625249760.00","160213700.00",11050112332,"SFY 2002-2003"
"Sterling","76143040.00","2548060.00","6261760.00",132074559,"SFY 2002-2003"
"Stonington","810538090.00","182408270.00","35197870.00",1278172525,"SFY 2002-2003"
"Stratford","2103810150.00","277579030.00","235916800.00",3245203396,"SFY 2002-2003"
"Suffield","561807370.00","39704190.00","29114540.00",764319600,"SFY 2002-2003"
"Thomaston","227388986.00","26923385.00","24813360.00",393156635,"SFY 2002-2003"
"Thompson","246583970.00","14152600.00","6091000.00",380065258,"SFY 2002-2003"
"Tolland","613643090.00","29991880.00","12828360.00",784908042,"SFY 2002-2003"
"Torrington","848324150.00","194895710.00","68216330.00",1488684919,"SFY 2002-2003"
"Trumbull","2313847929.00","241444659.00","215710599.00",3348725977,"SFY 2002-2003"
"Union","33860450.00","2041150.00","245930.00",49042232,"SFY 2002-2003"
"Vernon","734571655.00","159654700.00","18170810.00",1234092662,"SFY 2002-2003"
"Voluntown","88832570.00","4849840.00","42980.00",123571356,"SFY 2002-2003"
"Wallingford","1753032880.00","447978600.00","175526800.00",3091484280,"SFY 2002-2003"
"Warren","99932680.00","4137530.00","0.00",126493920,"SFY 2002-2003"
"Washington","450584250.00","23258280.00","0.00",607815050,"SFY 2002-2003"
"Waterbury","1718768180.00","768443230.00","167971930.00",3379502860,"SFY 2002-2003"
"Waterford","724819420.00","203032930.00","29103230.00",1929297590,"SFY 2002-2003"
"Watertown","762490000.00","101513780.00","52203980.00",1251436681,"SFY 2002-2003"
"Westbrook","529293299.00","79748740.00","18327810.00",755663883,"SFY 2002-2003"
"West Hartford","2507287370.00","456462880.00","64101060.00",3653810290,"SFY 2002-2003"
"West Haven","1130794240.00","168724220.00","131749940.00",1886621610,"SFY 2002-2003"
"Weston","1568093270.00","14175490.00","0.00",1755175675,"SFY 2002-2003"
"Westport","4505369500.00","679535200.00","0.00",5638820415,"SFY 2002-2003"
"Wethersfield","1046539100.00","147706600.00","15569600.00",1469064650,"SFY 2002-2003"
"Willington","153891410.00","32319130.00","3939610.00",292588767,"SFY 2002-2003"
"Wilton","1680670460.00","217744560.00","0.00",2246418670,"SFY 2002-2003"
"Winchester","282447382.00","34087923.00","15745160.00",458780998,"SFY 2002-2003"
"Windham","341766940.00","99225585.00","23263680.00",656930191,"SFY 2002-2003"
"Windsor","924273490.00","225516410.00","188070050.00",1834068615,"SFY 2002-2003"
"Windsor Locks","354013400.00","110989400.00","110050500.00",955633089,"SFY 2002-2003"
"Wolcott","508215690.00","37818130.00","22322710.00",724748952,"SFY 2002-2003"
"Woodbridge","700917310.00","48881770.00","9228060.00",863510690,"SFY 2002-2003"
"Woodbury","524743750.00","52178210.00","9585470.00",699808861,"SFY 2002-2003"
"Woodstock","311495079.00","10866980.00","10966840.00",409652158,"SFY 2002-2003"
"Andover","131782480","2718800","773600",166508681,"SFY 2003-2004"
"Ansonia","595424800","54009100","13938600",796647377,"SFY 2003-2004"
"Ashford","164010860","7399630","581930",213352640,"SFY 2003-2004"
"Avon","1204902700","197767640","26966780",1681919030,"SFY 2003-2004"
"Barkhamsted","146875170","13631660","1029250",222426620,"SFY 2003-2004"
"Beacon Falls","214749180","6866830","21981300",305520270,"SFY 2003-2004"
"Berlin","973937600","172097260","98123920",1603793730,"SFY 2003-2004"
"Bethany","281401370","15770760","7235540",359117166,"SFY 2003-2004"
"Bethel","1104323440","80882390","120918550",1561123610,"SFY 2003-2004"
"Bethlehem","191615240","7157350","3018970",240043410,"SFY 2003-2004"
"Bloomfield","647918383","107174910","112730650",1171233679,"SFY 2003-2004"
"Bolton","213888950","12381470","5446220",278255910,"SFY 2003-2004"
"Bozrah","100432730","7125660","19080620",178127250,"SFY 2003-2004"
"Branford","2046317130","270199200","95269400",2753521479,"SFY 2003-2004"
"Bridgeport","1988212929","540471940","155224460",3771199543,"SFY 2003-2004"
"Bridgewater","180924410","3341480","0",205971061,"SFY 2003-2004"
"Bristol","1790702240","228309630","172174530",2934401850,"SFY 2003-2004"
"Brookfield","1221196900","166285850","87920130",1731849157,"SFY 2003-2004"
"Brooklyn","220071870","21333990","2885650",318423224,"SFY 2003-2004"
"Burlington","421447630","8396080","1904420",537050172,"SFY 2003-2004"
"Canaan","65086100","4169600","2612900",114054060,"SFY 2003-2004"
"Canterbury","157563720","6233720","1766400",214032023,"SFY 2003-2004"
"Canton","430171480","55050550","2660100",583109130,"SFY 2003-2004"
"Chaplin","58151300","6032700","98000",87122473,"SFY 2003-2004"
"Cheshire","1256570000","123889090","136772880",1850194270,"SFY 2003-2004"
"Chester","191228550","36475600","12130900",298031314,"SFY 2003-2004"
"Clinton","654855659","102621273","24691600",943194967,"SFY 2003-2004"
"Colchester","558611710","60655270","8180600",790627666,"SFY 2003-2004"
"Colebrook","81904600","848200","0",107491545,"SFY 2003-2004"
"Columbia","253494990","13515500","3604300",327906136,"SFY 2003-2004"
"Cornwall","161362870","5242880","0",219242240,"SFY 2003-2004"
"Coventry","487294630","14925750","1750630",596031160,"SFY 2003-2004"
"Cromwell","642917920","136009990","22200230",951995783,"SFY 2003-2004"
"Danbury","3484817100","1136582300","322041800",5871260940,"SFY 2003-2004"
"Darien","3567507412","336476710","0",4254747988,"SFY 2003-2004"
"Deep River","274875860","20550250","8779470",362780916,"SFY 2003-2004"
"Derby","347375289","70591651","9827240",551491802,"SFY 2003-2004"
"Durham","359013111","17708850","12586620",469968390,"SFY 2003-2004"
"Eastford","67313630","4786460","1507170",94711712,"SFY 2003-2004"
"East Granby","205384900","17742300","56925000",382124549,"SFY 2003-2004"
"East Haddam","437860500","30845000","4221200",637965240,"SFY 2003-2004"
"East Hampton","495894310","29925460","8657200",645025650,"SFY 2003-2004"
"East Hartford","1385302602","190470940","98340460",2443468972,"SFY 2003-2004"
"East Haven","865391024","144732750","30210760",1250522500,"SFY 2003-2004"
"East Lyme","1053467799","84021097","10289650",1318480760,"SFY 2003-2004"
"Easton","1088671240","24930790","206980",1204163680,"SFY 2003-2004"
"East Windsor","358054285","115519500","72096250",706834113,"SFY 2003-2004"
"Ellington","493503560","39850530","14011700",712718457,"SFY 2003-2004"
"Enfield","1184114760","295253360","120177460",2042906685,"SFY 2003-2004"
"Essex","466707720","75657270","26625550",677528329,"SFY 2003-2004"
"Fairfield","5885919000","590166500","53122230",7217904994,"SFY 2003-2004"
"Farmington","1589134845","497166905","83325460",2637897685,"SFY 2003-2004"
"Franklin","65253890","16755360","5478710",125596966,"SFY 2003-2004"
"Glastonbury","2130416500","335044000","24836400",2893038960,"SFY 2003-2004"
"Goshen","305203730","8541230","295100",346273593,"SFY 2003-2004"
"Granby","568808400","33908560","1824060",762742150,"SFY 2003-2004"
"Greenwich","16185029610","1959428380","61938730",19934282555,"SFY 2003-2004"
"Griswold","320999402","27350609","7619080",458609365,"SFY 2003-2004"
