MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2012 ESTIMATE
"KILLINGWORTH",1.0696400000000000e+05
"LEBANON",8.1120000000000000e+04
"LEDYARD",8.8057000000000000e+04
"LISBON",8.0539000000000000e+04
"LITCHFIELD",8.4063000000000000e+04
"LYME",8.6250000000000000e+04
"MADISON",1.0706200000000000e+05
"MANCHESTER",6.3656000000000000e+04
"MANSFIELD",6.7615000000000000e+04
"MARLBOROUGH",1.1071800000000000e+05
"MERIDEN",5.3831000000000000e+04
"MIDDLEBURY",9.7996000000000000e+04
"MIDDLEFIELD",8.7463000000000000e+04
"MIDDLETOWN",6.0542000000000000e+04
"MILFORD",7.9531000000000000e+04
"MONROE",1.1260500000000000e+05
"MONTVILLE",6.7262000000000000e+04
"MORRIS",8.9688000000000000e+04
"NAUGATUCK",6.2574000000000000e+04
"NEW BRITAIN",3.9898000000000000e+04
"NEW CANAAN",1.6703700000000000e+05
"NEW FAIRFIELD",9.8209000000000000e+04
"NEW HARTFORD",8.5598000000000000e+04
"NEW HAVEN",3.8482000000000000e+04
"NEW LONDON",4.4106000000000000e+04
"NEW MILFORD",8.4110000000000000e+04
"NEWINGTON",7.5237000000000000e+04
"NEWTOWN",1.1602400000000000e+05
"NORFOLK",7.8214000000000000e+04
"NORTH BRANFORD",8.2460000000000000e+04
"NORTH CANAAN",4.5992000000000000e+04
"NORTH HAVEN",8.3089000000000000e+04
"NORTH STONINGTON",8.1434000000000000e+04
"NORWALK",7.5446000000000000e+04
"NORWICH",5.1304000000000000e+04
"OLD LYME",9.2175000000000000e+04
"OLD SAYBROOK",7.8227000000000000e+04
"ORANGE",1.0637200000000000e+05
"OXFORD",1.0730800000000000e+05
"PLAINFIELD",6.2775000000000000e+04
"PLAINVILLE",6.1766000000000000e+04
"PLYMOUTH",7.3603000000000000e+04
"POMFRET",8.2661000000000000e+04
"PORTLAND",9.2344000000000000e+04
"PRESTON",7.6296000000000000e+04
"PROSPECT",9.5325000000000000e+04
"PUTNAM",4.6440000000000000e+04
"REDDING",1.2022300000000000e+05
"RIDGEFIELD",1.4810400000000000e+05
"ROCKY HILL",7.6128000000000000e+04
"ROXBURY",9.7031000000000000e+04
"SALEM",1.0037500000000000e+05
"SALISBURY",6.5625000000000000e+04
"SCOTLAND",7.7634000000000000e+04
"SEYMOUR",7.3099000000000000e+04
"SHARON",7.6117000000000000e+04
"SHELTON",8.3755000000000000e+04
"SHERMAN",1.1875000000000000e+05
"SIMSBURY",1.1757700000000000e+05
"SOMERS",1.0010000000000000e+05
"SOUTH WINDSOR",9.1519000000000000e+04
"SOUTHBURY",6.7195000000000000e+04
"SOUTHINGTON",7.8668000000000000e+04
"SPRAGUE",6.7415000000000000e+04
"STAFFORD",6.3672000000000000e+04
"STAMFORD",7.6797000000000000e+04
"STERLING",6.7794000000000000e+04
"STONINGTON",8.0666000000000000e+04
"STRATFORD",6.7375000000000000e+04
"SUFFIELD",9.2019000000000000e+04
"THOMASTON",6.7426000000000000e+04
"THOMPSON",6.3385000000000000e+04
"TOLLAND",1.0335800000000000e+05
"TORRINGTON",5.0548000000000000e+04
"TRUMBULL",1.0866700000000000e+05
"UNION",8.3500000000000000e+04
"VERNON",6.1848000000000000e+04
"VOLUNTOWN",7.4032000000000000e+04
"WALLINGFORD",7.5467000000000000e+04
"WARREN",9.6250000000000000e+04
"WASHINGTON",7.5865000000000000e+04
"WATERBURY",4.0867000000000000e+04
"WATERFORD",7.5270000000000000e+04
"WATERTOWN",8.0899000000000000e+04
"WEST HARTFORD",8.1588000000000000e+04
"WEST HAVEN",5.1911000000000000e+04
"WESTBROOK",6.3885000000000000e+04
"WESTON",2.1342300000000000e+05
"WESTPORT",1.5258600000000000e+05
"WETHERSFIELD",7.6196000000000000e+04
"WILLINGTON",7.0013000000000000e+04
"WILTON",1.6190600000000000e+05
"WINCHESTER",6.0994000000000000e+04
"WINDHAM",4.1007000000000000e+04
"WINDSOR",7.7377000000000000e+04
"WINDSOR LOCKS",6.2640000000000000e+04
"WOLCOTT",8.0655000000000000e+04
"WOODBRIDGE",1.3721600000000000e+05
"WOODBURY",8.0167000000000000e+04
"WOODSTOCK",8.1705000000000000e+04
