Municipality,July 2001 Population
"ROCKY HILL",1.7683000000000000e+04
"ROXBURY",2.2000000000000000e+03
"SALEM",3.8800000000000000e+03
"SALISBURY",3.7690000000000000e+03
"SCOTLAND",1.6010000000000000e+03
"SEYMOUR",1.5498000000000000e+04
"SHARON",2.9140000000000000e+03
"SHELTON",3.7456000000000000e+04
"SHERMAN",3.8320000000000000e+03
"SIMSBURY",2.3740000000000000e+04
"SOMERS",1.0502000000000000e+04
"SOUTH WINDSOR",2.4773000000000000e+04
"SOUTHBURY",1.8471000000000000e+04
"SOUTHINGTON",4.0227000000000000e+04
"SPRAGUE",2.7990000000000000e+03
"STAFFORD",1.1419000000000000e+04
"STAMFORD",1.1726700000000000e+05
"STERLING",3.2240000000000000e+03
"STONINGTON",1.7767000000000000e+04
"STRATFORD",4.9326000000000000e+04
"SUFFIELD",1.3990000000000000e+04
"THOMASTON",7.5380000000000000e+03
"THOMPSON",8.9580000000000000e+03
"TOLLAND",1.3788000000000000e+04
"TORRINGTON",3.5434000000000000e+04
"TRUMBULL",3.4547000000000000e+04
"UNION",7.1300000000000000e+02
"VERNON",2.7861000000000000e+04
"VOLUNTOWN",2.4360000000000000e+03
"WALLINGFORD",4.3100000000000000e+04
"WARREN",1.2910000000000000e+03
"WASHINGTON",3.6450000000000000e+03
"WATERBURY",1.0901900000000000e+05
"WATERFORD",1.9139000000000000e+04
"WATERTOWN",2.1915000000000000e+04
"WEST HARTFORD",6.1578000000000000e+04
"WEST HAVEN",5.2212000000000000e+04
"WESTBROOK",6.3900000000000000e+03
"WESTON",1.0199000000000000e+04
"WESTPORT",2.6514000000000000e+04
"WETHERSFIELD",2.6262000000000000e+04
"WILLINGTON",6.0710000000000000e+03
"WILTON",1.7999000000000000e+04
"WINCHESTER",1.1140000000000000e+04
"WINDHAM",2.3010000000000000e+04
"WINDSOR",2.7731000000000000e+04
"WINDSOR LOCKS",1.1919000000000000e+04
"WOLCOTT",1.5703000000000000e+04
"WOODBRIDGE",9.0600000000000000e+03
"WOODBURY",9.3480000000000000e+03
"WOODSTOCK",7.3040000000000000e+03
