Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2004 Population,Moody's_Bond_Ratings_July_2004,area lmt,ACGLFY04,EGL,TANF04 Recipients,empl,ACMR,enrollmt,RPA Identifier
"BLOOMFIELD","JG",2.0040000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",35348494.0000,-4636126.0000,30712368.0000,-14461986.0000,6072098.0000,45039462.0000,53930390.0000,31358858.0000,2906923.0000,55640770.0000,0.0000,0.0000,1021943.0000,1021943.0000,-2732323.0000,533119.0000,-2732323.0000,0.0000,,21124088.0000,21124088.0000,274777.0000,705000.0000,3582339.0000,3307562.0000,11228708.0000,1463712.0000,45019634.0000,44076550.0000,9.7905171774608390e-01,46003306.0000,44375910.0000,9.6462436851821043e-01,2.0414000000000000e+04,"Aa2",2.6010000000000002e+01,1166346561.0000,2252300627.2901,2.1900000000000000e+02,6.0555785980920783e-02,3.9800000000000004e+01,2.7519700000000003e+03,"Capital Region COG"
"BOLTON","BP",2.0040000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",6881280.0000,677356.0000,7755567.0000,658395.0000,3657989.0000,10066068.0000,14093086.0000,9981999.0000,1013807.0000,14017184.0000,167133.0000,167133.0000,274500.0000,274500.0000,-31465.0000,157246.0000,-31465.0000,0.0000,,4970000.0000,4970000.0000,73598.0000,0.0000,850623.0000,777025.0000,26467.0000,,9983296.0000,9858896.0000,9.8753918545538466e-01,10225071.0000,9969582.0000,9.7501347423406648e-01,5.1730000000000000e+03,"A2",1.4410000000000000e+01,275543065.0000,525022530.1001,1.1000000000000000e+01,3.3990482664853841e-02,3.6200000000000003e+01,9.6928999999999996e+02,"Capital Region COG"
"BOZRAH","BP",2.0040000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",2287430.0000,1899410.0000,4396840.0000,-271162.0000,1493703.0000,3584324.0000,5285878.0000,3874822.0000,388187.0000,5475195.0000,0.0000,2736041.0000,0.0000,2700705.0000,-189317.0000,-312493.0000,-153981.0000,0.0000,,3167329.0000,3167329.0000,0.0000,0.0000,-121376.0000,-121376.0000,,,3555130.0000,3485693.0000,9.8046850607432079e-01,3735285.0000,3546076.0000,9.4934549840239768e-01,2.4460000000000000e+03,"Baa1",1.9960000000000001e+01,177061120.0000,252944457.1429,1.6000000000000000e+01,4.5296167247386762e-02,2.0500000000000000e+01,3.9544999999999999e+02,"Southeastern CT COG"
"BRANFORD","JG",2.0040000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",38138112.0000,24322259.0000,62683821.0000,2645550.0000,5197520.0000,62404064.0000,72993959.0000,38222370.0000,6627565.0000,71758502.0000,29285.0000,7889285.0000,1134372.0000,8926712.0000,130370.0000,2293614.0000,1303117.0000,0.0000,,56566718.0000,56566718.0000,1034626.0000,2445000.0000,13668377.0000,12633751.0000,,-210701.0000,62132177.0000,60900284.0000,9.8017302693256669e-01,65108368.0000,61703246.0000,9.4770070108346138e-01,2.9166000000000000e+04,"Aa3",2.1990000000000002e+01,2745838029.0000,3922625755.7143,1.6800000000000000e+02,4.0938799762329177e-02,2.2789999999999999e+01,3.7382500000000000e+03,"South Central Regional COG"
"BRIDGEPORT","BP",2.0040000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",65794648.0000,-143011902.0000,-74061645.0000,-14232192.0000,196893775.0000,181841069.0000,424015378.0000,169064179.0000,62075102.0000,432983647.0000,6750435.0000,36884599.0000,0.0000,30134164.0000,-2217834.0000,-3205568.0000,-2217834.0000,0.0000,,651765283.0000,651765283.0000,2727423.0000,0.0000,35732110.0000,33004687.0000,62362860.0000,,181481765.0000,169411397.0000,9.3348991288463612e-01,231427992.0000,177393841.0000,7.6651851604882781e-01,1.4013200000000000e+05,"Baa1",1.6000000000000000e+01,3547457526.0000,7132633698.5918,5.1220000000000000e+03,7.8177434594207146e-02,5.5200000000000003e+01,2.4027560000000001e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","JG",2.0040000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",2504075.0000,3875208.0000,6797911.0000,461676.0000,184618.0000,5353948.0000,5870398.0000,3973382.0000,0.0000,5428377.0000,0.0000,0.0000,165650.0000,165650.0000,276371.0000,-537043.0000,276371.0000,0.0000,977256.0000,33935.0000,1011191.0000,0.0000,200000.0000,1259278.0000,1259278.0000,,,5350497.0000,5324441.0000,9.9513017201953391e-01,5430610.0000,5326091.0000,9.8075372748181144e-01,1.8920000000000000e+03,,1.6230000000000000e+01,205403366.0000,575895372.8252,2.0000000000000000e+00,2.9673590504451040e-02,2.6000000000000000e+01,2.7968000000000001e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","JG",2.0040000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",195021000.0000,32601000.0000,227891000.0000,-1914000.0000,45103000.0000,90277000.0000,140326000.0000,72234000.0000,6234000.0000,113824000.0000,433000.0000,433000.0000,25598000.0000,25598000.0000,1337000.0000,-2848000.0000,1337000.0000,0.0000,,30139000.0000,30139000.0000,2310000.0000,2943000.0000,20320000.0000,18010000.0000,23778000.0000,1143000.0000,88824000.0000,86734000.0000,9.7647032333603534e-01,94536000.0000,88926000.0000,9.4065752729119068e-01,6.0994000000000000e+04,"Aa3",2.6510000000000002e+01,2922854320.0000,4159899785.7143,9.9800000000000000e+02,5.4682035217906995e-02,3.0930000000000000e+01,9.0489500000000007e+03,"Central CT RPA"
"BROOKFIELD","JG",2.0040000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",18028862.0000,5134191.0000,23163053.0000,307713.0000,2876295.0000,37862116.0000,42357480.0000,28867645.0000,3544838.0000,41267936.0000,0.0000,0.0000,1295651.0000,1295651.0000,-206107.0000,217758.0000,-206107.0000,0.0000,,21539747.0000,21539747.0000,0.0000,900000.0000,4458905.0000,4458905.0000,,-159333.0000,37464046.0000,37062925.0000,9.8929317458130395e-01,38268555.0000,37482139.0000,9.7945007330430955e-01,1.6201000000000000e+04,"Aa2",1.9800000000000001e+01,1727378764.0000,2860020913.7756,2.0000000000000000e+01,3.5330436771095361e-02,2.1870000000000001e+01,3.1204000000000001e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","BP",2.0040000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",9213819.0000,6534640.0000,16103298.0000,294455.0000,7433374.0000,8336392.0000,16560850.0000,12399734.0000,1558525.0000,16730023.0000,0.0000,86316.0000,0.0000,0.0000,-169173.0000,-150025.0000,-82857.0000,0.0000,,9561014.0000,9561014.0000,354839.0000,316602.0000,1777294.0000,1422455.0000,,,8257019.0000,8043742.0000,9.7417021808960358e-01,8488127.0000,8170429.0000,9.6257148367360668e-01,7.6500000000000000e+03,"A3",2.8969999999999999e+01,315971615.0000,564772038.9775,3.4000000000000000e+01,4.6205544665359845e-02,2.5969999999999999e+01,1.3490100000000000e+03,"Northeastern CT COG"
"BURLINGTON","BP",2.0040000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",2380676.0000,3044977.0000,5547549.0000,849878.0000,3566254.0000,17531888.0000,21976237.0000,15954306.0000,244768.0000,21266400.0000,0.0000,0.0000,126470.0000,126470.0000,583367.0000,413876.0000,583367.0000,0.0000,5131750.0000,5101363.0000,10233113.0000,0.0000,200866.0000,2958095.0000,2958095.0000,42843.0000,,17099406.0000,16933152.0000,9.9027720612049330e-01,17596486.0000,17263478.0000,9.8107531242317358e-01,8.9520000000000000e+03,"A2",2.9789999999999999e+01,536208379.0000,1025724041.2245,2.9000000000000000e+01,3.9566929133858265e-02,3.1500000000000000e+01,1.7412100000000000e+03,"Central CT RPA"
"CANAAN","BP",2.0040000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",2134841.0000,976000.0000,3976811.0000,104762.0000,553263.0000,2998991.0000,3736717.0000,2502522.0000,116132.0000,3898238.0000,0.0000,0.0000,0.0000,0.0000,-161521.0000,-142013.0000,-161521.0000,0.0000,356006.0000,1028000.0000,1384006.0000,0.0000,10500.0000,621573.0000,621573.0000,44881.0000,,3009892.0000,2975426.0000,9.8854909079794229e-01,3087054.0000,3023218.0000,9.7932138537259150e-01,1.1060000000000000e+03,,3.2939999999999998e+01,113841510.0000,162630728.5714,3.0000000000000000e+00,4.3189368770764118e-02,2.6500000000000000e+01,1.7705000000000001e+02,"Northwestern CT COG"
"CANTERBURY","BP",2.0040000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",7195856.0000,3891472.0000,11114949.0000,-290345.0000,5124048.0000,6511550.0000,11830254.0000,9142920.0000,746916.0000,11568917.0000,0.0000,0.0000,204208.0000,204208.0000,57129.0000,-339766.0000,57129.0000,0.0000,,3295000.0000,3295000.0000,0.0000,0.0000,1767582.0000,1767582.0000,,,6103120.0000,5956470.0000,9.7597130647930896e-01,6595679.0000,6262621.0000,9.4950360683107837e-01,5.0100000000000000e+03,"A3",3.9890000000000001e+01,211707183.0000,402936330.8115,2.1000000000000000e+01,4.8439531859557870e-02,2.8500000000000000e+01,8.2311000000000001e+02,"Northeastern CT COG"
"CANTON","BP",2.0040000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",16464262.0000,-1353332.0000,25106295.0000,6149040.0000,3372884.0000,20286598.0000,25501643.0000,15880514.0000,2263009.0000,24641017.0000,0.0000,0.0000,618600.0000,618600.0000,242026.0000,85830.0000,242026.0000,0.0000,,19614287.0000,19614287.0000,8044.0000,215000.0000,1689630.0000,1681586.0000,459932.0000,,20045447.0000,19792162.0000,9.8736446236394726e-01,20946761.0000,20036096.0000,9.5652478204148128e-01,9.6030000000000000e+03,"A1",2.4560000000000002e+01,581843670.0000,1161278984.0648,1.7000000000000000e+01,3.8924407672057161e-02,3.4020000000000003e+01,1.6319400000000001e+03,"Capital Region COG"
"CHAPLIN","BP",2.0040000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",2791399.0000,2375450.0000,5167774.0000,210817.0000,2325046.0000,3687503.0000,6181068.0000,4368406.0000,423103.0000,5961035.0000,0.0000,0.0000,89000.0000,89000.0000,131033.0000,-205242.0000,131033.0000,0.0000,0.0000,2123850.0000,2123850.0000,321723.0000,0.0000,720475.0000,398752.0000,,,3680028.0000,3590803.0000,9.7575426056540870e-01,3787282.0000,3640675.0000,9.6128965310742642e-01,2.4180000000000000e+03,,1.9440000000000001e+01,86682453.0000,185841286.9288,2.1000000000000000e+01,4.9300956585724795e-02,4.2000000000000000e+01,3.4788999999999999e+02,"Windham Region COG"
"CHESHIRE","JG",2.0040000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",18617325.0000,8625250.0000,31147076.0000,6786673.0000,14162648.0000,62644440.0000,79329154.0000,50298728.0000,10294951.0000,78953381.0000,1149638.0000,1149638.0000,1088127.0000,1088127.0000,437284.0000,584535.0000,437284.0000,0.0000,,83067028.0000,83067028.0000,1863720.0000,550000.0000,7122957.0000,5259237.0000,,472546.0000,61999330.0000,61526855.0000,9.9237935313171932e-01,62564472.0000,61869063.0000,9.8888492178116683e-01,2.9303000000000000e+04,"Aa3",3.2910000000000004e+01,1846023520.0000,3646226395.9784,2.2000000000000000e+01,3.9148158560584762e-02,3.3700000000000003e+01,5.1605799999999999e+03,"COG of Central Naugatuck Valley"
"CHESTER","JG",2.0040000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",3888874.0000,4123294.0000,8012168.0000,409963.0000,1051551.0000,8096633.0000,9656365.0000,6322774.0000,525990.0000,9492995.0000,75000.0000,75000.0000,531406.0000,531406.0000,-293036.0000,111363.0000,-293036.0000,0.0000,6541500.0000,3445000.0000,9986500.0000,0.0000,454881.0000,1567495.0000,1567495.0000,,,8056561.0000,7997312.0000,9.9264586962104551e-01,8166127.0000,8031547.0000,9.8351972728320292e-01,3.8460000000000000e+03,"A2",1.6030000000000001e+01,296420582.0000,584984369.1556,1.0000000000000000e+01,3.5326086956521736e-02,2.7530000000000001e+01,5.4993000000000006e+02,"CT River Estuary RPA"
"CLINTON","JG",2.0040000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",18980678.0000,5783009.0000,24763687.0000,1493061.0000,7757105.0000,26454506.0000,35493701.0000,23607067.0000,1895568.0000,34113645.0000,0.0000,0.0000,1793005.0000,1793005.0000,-412949.0000,-982919.0000,1380056.0000,0.0000,,17210279.0000,17210279.0000,68675.0000,200000.0000,5782571.0000,5713896.0000,,-25910.0000,26053682.0000,25968522.0000,9.9673136411199004e-01,26545801.0000,26255702.0000,9.8907175564225769e-01,1.3638000000000000e+04,"A1",1.6280000000000001e+01,938770409.0000,1874468271.8934,5.7000000000000000e+01,3.9470267462996624e-02,2.7859999999999999e+01,2.2042700000000000e+03,"CT River Estuary RPA"
"COLCHESTER","JG",2.0040000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",41935627.0000,17106386.0000,59042013.0000,6467071.0000,14883203.0000,24292569.0000,41095045.0000,28139441.0000,4918686.0000,40446903.0000,111657.0000,111657.0000,338686.0000,338686.0000,421113.0000,768514.0000,421113.0000,0.0000,,27770000.0000,27770000.0000,103064.0000,644657.0000,4257921.0000,4154857.0000,3153392.0000,313881.0000,24126635.0000,23609118.0000,9.7854997184646764e-01,25031781.0000,24032903.0000,9.6009560805921079e-01,1.5334000000000000e+04,"A1",4.9060000000000002e+01,786577023.0000,1351728080.2355,4.9000000000000000e+01,4.3974328500118849e-02,3.0350000000000001e+01,3.1792500000000000e+03,"Southeastern CT COG"
"COLEBROOK","BP",2.0040000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",2293880.0000,2264723.0000,4643313.0000,506232.0000,608612.0000,4251288.0000,4960758.0000,2847774.0000,156396.0000,4280413.0000,0.0000,0.0000,263720.0000,263720.0000,416625.0000,70080.0000,416625.0000,0.0000,1126990.0000,1627980.0000,2754970.0000,0.0000,100000.0000,1296699.0000,1296699.0000,,,3975865.0000,3892989.0000,9.7915522785607656e-01,4337951.0000,4117978.0000,9.4929103625190792e-01,1.5300000000000000e+03,"A3",3.1490000000000002e+01,106769325.0000,217017652.4089,2.0000000000000000e+00,2.4630541871921183e-02,3.6750000000000000e+01,2.5655000000000001e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","BP",2.0040000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",5121717.0000,5259139.0000,10717700.0000,-35811.0000,2986168.0000,8780900.0000,12285497.0000,8907533.0000,1173523.0000,12260206.0000,0.0000,0.0000,190572.0000,190572.0000,-165281.0000,3451.0000,-165281.0000,0.0000,,8300000.0000,8300000.0000,8277.0000,871395.0000,2032005.0000,2023728.0000,,,8747019.0000,8673334.0000,9.9157598720203988e-01,8853869.0000,8737266.0000,9.8683027724941497e-01,5.2950000000000000e+03,"A1",2.1350000000000001e+01,326409316.0000,577919658.3991,1.0000000000000000e+01,4.0355677154582763e-02,2.6600000000000001e+01,9.4710000000000002e+02,"Windham Region COG"
"CORNWALL","BP",2.0040000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",1948517.0000,1870015.0000,5525134.0000,889273.0000,301822.0000,4449683.0000,4898039.0000,3144310.0000,278761.0000,4608620.0000,0.0000,0.0000,439500.0000,439500.0000,-150081.0000,-193945.0000,-150081.0000,0.0000,476478.0000,3750000.0000,4226478.0000,0.0000,50000.0000,813127.0000,813127.0000,,,4505254.0000,4455076.0000,9.8886233717344241e-01,4661592.0000,4506806.0000,9.6679546386727966e-01,1.4820000000000000e+03,"A1",4.6000000000000000e+01,218340660.0000,423303573.5171,3.0000000000000000e+00,2.9556650246305417e-02,2.0500000000000000e+01,2.1995000000000002e+02,"Northwestern CT COG"
"COVENTRY","JG",2.0040000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",21865353.0000,6848064.0000,28715310.0000,1606205.0000,8897800.0000,18314784.0000,28019032.0000,19051954.0000,2667825.0000,28366808.0000,146739.0000,6746739.0000,144638.0000,6525638.0000,-345675.0000,-309954.0000,-126675.0000,0.0000,,20223800.0000,20223800.0000,355990.0000,0.0000,1521827.0000,1165837.0000,,,18145046.0000,17817529.0000,9.8195005953691161e-01,18771354.0000,18130251.0000,9.6584673646877039e-01,1.2166000000000000e+04,"A2",3.7719999999999999e+01,592575610.0000,1053326858.3616,3.5000000000000000e+01,4.3020323394155173e-02,3.0350000000000001e+01,2.1461300000000001e+03,"Windham Region COG"
"CROMWELL","JG",2.0040000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",19152703.0000,11529752.0000,30690844.0000,1350632.0000,4228564.0000,25483587.0000,30891007.0000,18950562.0000,2191523.0000,30523144.0000,381213.0000,8152235.0000,1199158.0000,8970180.0000,-450082.0000,-298111.0000,-450082.0000,0.0000,,32260000.0000,32260000.0000,176992.0000,1383444.0000,3481280.0000,3304288.0000,,,24952014.0000,24676405.0000,9.8895443870783339e-01,25919346.0000,25123201.0000,9.6928375430460323e-01,1.3520000000000000e+04,"A1",1.2390000000000001e+01,950166793.0000,1357381132.8571,3.9000000000000000e+01,4.1816009557945039e-02,2.6300000000000001e+01,1.8890000000000000e+03,"Midstate RPA"
"DANBURY","JG",2.0040000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",105467747.0000,6618789.0000,113563710.0000,11161361.0000,30057588.0000,119645762.0000,158673759.0000,89066006.0000,7293746.0000,160649709.0000,500000.0000,17650067.0000,669699.0000,15624749.0000,-2145649.0000,598444.0000,49368.0000,0.0000,,65312405.0000,65312405.0000,1080103.0000,0.0000,12842032.0000,11761929.0000,94203040.0000,,119702002.0000,117935647.0000,9.8524373051003777e-01,124094660.0000,120694031.0000,9.7259649206500909e-01,7.8221000000000000e+04,"Aa2",4.2109999999999999e+01,5062142830.0000,7099246971.4286,4.5600000000000000e+02,4.0371294633486488e-02,2.4289999999999999e+01,9.7543899999999994e+03,"Housatonic Council of Elected Ofcls"
